ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,3,1.0000,1.0000,45.72
1,0,-1.250,-1.750,20,1.0000,1.0000,44.27
2,0,-0.750,-1.750,19,1.0000,1.0000,44.54
3,0,-0.250,-1.750,19,1.0000,1.0000,45.89
4,0,0.250,-1.750,19,1.0000,1.0000,46.73
5,0,0.750,-1.750,19,1.0000,1.0000,46.67
6,0,1.250,-1.750,19,1.0000,1.0000,44.28
7,0,1.750,-1.750,7,1.0000,1.0000,47.70
0,1,-1.750,-1.250,11,1.0000,1.0000,48.22
1,1,-1.250,-1.250,30,1.0000,1.0000,40.29
2,1,-0.750,-1.250,28,1.0000,1.0000,41.60
3,1,-0.250,-1.250,25,1.0000,1.0000,41.91
4,1,0.250,-1.250,23,1.0000,1.0000,47.66
5,1,0.750,-1.250,20,1.0000,1.0000,49.08
6,1,1.250,-1.250,18,1.0000,1.0000,49.65
7,1,1.750,-1.250,16,1.0000,1.0000,50.52
0,2,-1.750,-0.750,24,1.0000,1.0000,62.32
1,2,-1.250,-0.750,28,1.0000,1.0000,53.10
2,2,-0.750,-0.750,28,1.0000,1.0000,43.80
3,2,-0.250,-0.750,28,1.0000,1.0000,44.04
4,2,0.250,-0.750,27,1.0000,1.0000,50.10
5,2,0.750,-0.750,29,1.0000,1.0000,47.40
6,2,1.250,-0.750,27,1.0000,1.0000,47.45
7,2,1.750,-0.750,15,1.0000,1.0000,46.84
0,3,-1.750,-0.250,11,1.0000,1.0000,52.68
1,3,-1.250,-0.250,18,1.0000,1.0000,50.84
2,3,-0.750,-0.250,19,1.0000,1.0000,46.32
3,3,-0.250,-0.250,19,1.0000,1.0000,47.50
4,3,0.250,-0.250,30,1.0000,1.0000,48.37
5,3,0.750,-0.250,28,1.0000,1.0000,45.26
6,3,1.250,-0.250,27,1.0000,1.0000,47.71
7,3,1.750,-0.250,21,1.0000,1.0000,46.50
0,4,-1.750,0.250,14,1.0000,1.0000,53.75
1,4,-1.250,0.250,19,1.0000,1.0000,48.07
2,4,-0.750,0.250,18,1.0000,1.0000,50.13
3,4,-0.250,0.250,18,1.0000,1.0000,46.88
4,4,0.250,0.250,19,1.0000,1.0000,47.19
5,4,0.750,0.250,18,1.0000,1.0000,50.44
6,4,1.250,0.250,20,1.0000,1.0000,51.40
7,4,1.750,0.250,14,1.0000,1.0000,48.34
0,5,-1.750,0.750,15,1.0000,1.0000,48.50
1,5,-1.250,0.750,19,1.0000,1.0000,47.58
2,5,-0.750,0.750,18,1.0000,1.0000,49.11
3,5,-0.250,0.750,19,1.0000,1.0000,52.63
4,5,0.250,0.750,18,1.0000,1.0000,51.44
5,5,0.750,0.750,18,1.0000,1.0000,48.47
6,5,1.250,0.750,19,1.0000,1.0000,47.78
7,5,1.750,0.750,10,1.0000,1.0000,49.31
0,6,-1.750,1.250,9,1.0000,1.0000,53.34
1,6,-1.250,1.250,19,1.0000,1.0000,46.28
2,6,-0.750,1.250,18,1.0000,1.0000,52.41
3,6,-0.250,1.250,19,1.0000,1.0000,50.02
4,6,0.250,1.250,18,1.0000,1.0000,46.67
5,6,0.750,1.250,18,1.0000,1.0000,49.42
6,6,1.250,1.250,20,1.0000,1.0000,49.30
7,6,1.750,1.250,17,1.0000,1.0000,46.62
0,7,-1.750,1.750,3,1.0000,1.0000,54.14
1,7,-1.250,1.750,20,1.0000,1.0000,50.77
2,7,-0.750,1.750,19,1.0000,1.0000,47.65
3,7,-0.250,1.750,14,1.0000,1.0000,44.89
4,7,0.250,1.750,17,1.0000,1.0000,50.21
5,7,0.750,1.750,18,1.0000,1.0000,50.26
6,7,1.250,1.750,18,1.0000,1.0000,49.90
7,7,1.750,1.750,9,1.0000,1.0000,47.95
