ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,3,1.0000,1.0000,47.38
1,0,-1.250,-1.750,20,1.0000,1.0000,54.70
2,0,-0.750,-1.750,18,1.0000,1.0000,50.21
3,0,-0.250,-1.750,19,1.0000,1.0000,47.46
4,0,0.250,-1.750,18,1.0000,1.0000,46.86
5,0,0.750,-1.750,18,1.0000,1.0000,49.69
6,0,1.250,-1.750,19,1.0000,1.0000,46.14
7,0,1.750,-1.750,7,1.0000,1.0000,50.34
0,1,-1.750,-1.250,12,1.0000,1.0000,52.69
1,1,-1.250,-1.250,27,1.0000,1.0000,45.97
2,1,-0.750,-1.250,30,1.0000,1.0000,42.53
3,1,-0.250,-1.250,27,1.0000,1.0000,44.28
4,1,0.250,-1.250,18,1.0000,1.0000,48.04
5,1,0.750,-1.250,19,1.0000,1.0000,47.05
6,1,1.250,-1.250,18,1.0000,1.0000,55.45
7,1,1.750,-1.250,18,1.0000,1.0000,54.13
0,2,-1.750,-0.750,25,1.0000,1.0000,52.03
1,2,-1.250,-0.750,27,1.0000,1.0000,52.03
2,2,-0.750,-0.750,27,1.0000,1.0000,44.52
3,2,-0.250,-0.750,29,1.0000,1.0000,44.89
4,2,0.250,-0.750,28,1.0000,1.0000,47.13
5,2,0.750,-0.750,28,1.0000,1.0000,50.02
6,2,1.250,-0.750,29,1.0000,1.0000,49.31
7,2,1.750,-0.750,14,1.0000,1.0000,48.96
0,3,-1.750,-0.250,14,1.0000,1.0000,59.21
1,3,-1.250,-0.250,17,1.0000,1.0000,55.51
2,3,-0.750,-0.250,20,1.0000,1.0000,47.40
3,3,-0.250,-0.250,19,1.0000,1.0000,49.77
4,3,0.250,-0.250,21,1.0000,1.0000,54.82
5,3,0.750,-0.250,27,1.0000,1.0000,49.60
6,3,1.250,-0.250,29,1.0000,1.0000,50.91
7,3,1.750,-0.250,21,1.0000,1.0000,48.13
0,4,-1.750,0.250,8,1.0000,1.0000,58.35
1,4,-1.250,0.250,17,1.0000,1.0000,49.08
2,4,-0.750,0.250,19,1.0000,1.0000,50.76
3,4,-0.250,0.250,18,1.0000,1.0000,49.53
4,4,0.250,0.250,19,1.0000,1.0000,46.85
5,4,0.750,0.250,18,1.0000,1.0000,49.46
6,4,1.250,0.250,20,1.0000,1.0000,52.85
7,4,1.750,0.250,13,1.0000,1.0000,52.09
0,5,-1.750,0.750,15,1.0000,1.0000,47.26
1,5,-1.250,0.750,18,1.0000,1.0000,47.70
2,5,-0.750,0.750,19,1.0000,1.0000,48.74
3,5,-0.250,0.750,18,1.0000,1.0000,52.54
4,5,0.250,0.750,19,1.0000,1.0000,50.26
5,5,0.750,0.750,18,1.0000,1.0000,45.54
6,5,1.250,0.750,20,1.0000,1.0000,50.44
7,5,1.750,0.750,10,1.0000,1.0000,57.35
0,6,-1.750,1.250,9,1.0000,1.0000,47.43
1,6,-1.250,1.250,18,1.0000,1.0000,51.75
2,6,-0.750,1.250,21,1.0000,1.0000,51.88
3,6,-0.250,1.250,18,1.0000,1.0000,50.00
4,6,0.250,1.250,19,1.0000,1.0000,49.06
5,6,0.750,1.250,18,1.0000,1.0000,49.82
6,6,1.250,1.250,19,1.0000,1.0000,52.20
7,6,1.750,1.250,18,1.0000,1.0000,45.70
0,7,-1.750,1.750,5,1.0000,1.0000,50.11
1,7,-1.250,1.750,16,1.0000,1.0000,50.91
2,7,-0.750,1.750,19,1.0000,1.0000,47.90
3,7,-0.250,1.750,20,1.0000,1.0000,45.02
4,7,0.250,1.750,19,1.0000,1.0000,46.92
5,7,0.750,1.750,17,1.0000,1.0000,49.76
6,7,1.250,1.750,21,1.0000,1.0000,51.20
7,7,1.750,1.750,6,1.0000,1.0000,44.47
