ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,2,1.0000,1.0000,40.49
1,0,-1.250,-1.750,20,1.0000,1.0000,50.88
2,0,-0.750,-1.750,19,1.0000,1.0000,48.67
3,0,-0.250,-1.750,17,1.0000,1.0000,44.89
4,0,0.250,-1.750,19,1.0000,1.0000,45.68
5,0,0.750,-1.750,20,1.0000,1.0000,43.86
6,0,1.250,-1.750,17,1.0000,1.0000,46.15
7,0,1.750,-1.750,8,1.0000,1.0000,46.51
0,1,-1.750,-1.250,10,1.0000,1.0000,52.51
1,1,-1.250,-1.250,31,1.0000,1.0000,52.21
2,1,-0.750,-1.250,26,1.0000,1.0000,39.56
3,1,-0.250,-1.250,20,1.0000,1.0000,42.91
4,1,0.250,-1.250,18,1.0000,1.0000,44.04
5,1,0.750,-1.250,20,1.0000,1.0000,47.78
6,1,1.250,-1.250,19,1.0000,1.0000,56.23
7,1,1.750,-1.250,16,1.0000,1.0000,52.03
0,2,-1.750,-0.750,26,1.0000,1.0000,50.68
1,2,-1.250,-0.750,26,1.0000,1.0000,48.44
2,2,-0.750,-0.750,28,1.0000,1.0000,42.48
3,2,-0.250,-0.750,30,1.0000,1.0000,42.04
4,2,0.250,-0.750,27,1.0000,1.0000,46.16
5,2,0.750,-0.750,25,1.0000,1.0000,43.03
6,2,1.250,-0.750,28,1.0000,1.0000,49.99
7,2,1.750,-0.750,17,1.0000,1.0000,52.30
0,3,-1.750,-0.250,15,1.0000,1.0000,57.71
1,3,-1.250,-0.250,16,1.0000,1.0000,61.26
2,3,-0.750,-0.250,18,1.0000,1.0000,50.13
3,3,-0.250,-0.250,28,1.0000,1.0000,44.69
4,3,0.250,-0.250,28,1.0000,1.0000,47.88
5,3,0.750,-0.250,26,1.0000,1.0000,47.36
6,3,1.250,-0.250,28,1.0000,1.0000,47.73
7,3,1.750,-0.250,21,1.0000,1.0000,45.71
0,4,-1.750,0.250,10,1.0000,1.0000,51.22
1,4,-1.250,0.250,20,1.0000,1.0000,50.92
2,4,-0.750,0.250,19,1.0000,1.0000,54.39
3,4,-0.250,0.250,18,1.0000,1.0000,47.27
4,4,0.250,0.250,18,1.0000,1.0000,40.27
5,4,0.750,0.250,20,1.0000,1.0000,49.79
6,4,1.250,0.250,17,1.0000,1.0000,47.47
7,4,1.750,0.250,14,1.0000,1.0000,48.19
0,5,-1.750,0.750,14,1.0000,1.0000,51.11
1,5,-1.250,0.750,18,1.0000,1.0000,51.34
2,5,-0.750,0.750,21,1.0000,1.0000,48.64
3,5,-0.250,0.750,17,1.0000,1.0000,49.83
4,5,0.250,0.750,18,1.0000,1.0000,50.29
5,5,0.750,0.750,21,1.0000,1.0000,48.28
6,5,1.250,0.750,18,1.0000,1.0000,51.36
7,5,1.750,0.750,9,1.0000,1.0000,47.72
0,6,-1.750,1.250,11,1.0000,1.0000,53.05
1,6,-1.250,1.250,16,1.0000,1.0000,48.98
2,6,-0.750,1.250,20,1.0000,1.0000,49.27
3,6,-0.250,1.250,20,1.0000,1.0000,48.65
4,6,0.250,1.250,16,1.0000,1.0000,44.31
5,6,0.750,1.250,17,1.0000,1.0000,47.01
6,6,1.250,1.250,20,1.0000,1.0000,46.08
7,6,1.750,1.250,18,1.0000,1.0000,45.33
0,7,-1.750,1.750,4,1.0000,1.0000,41.18
1,7,-1.250,1.750,19,1.0000,1.0000,50.94
2,7,-0.750,1.750,16,1.0000,1.0000,58.28
3,7,-0.250,1.750,14,1.0000,1.0000,48.28
4,7,0.250,1.750,20,1.0000,1.0000,41.43
5,7,0.750,1.750,17,1.0000,1.0000,43.21
6,7,1.250,1.750,17,1.0000,1.0000,45.04
7,7,1.750,1.750,8,1.0000,1.0000,46.23
