ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,5,1.0000,1.0000,64.90
1,0,-1.250,-1.750,16,1.0000,1.0000,58.40
2,0,-0.750,-1.750,19,1.0000,1.0000,54.26
3,0,-0.250,-1.750,20,1.0000,1.0000,45.00
4,0,0.250,-1.750,18,1.0000,1.0000,42.93
5,0,0.750,-1.750,16,1.0000,1.0000,46.25
6,0,1.250,-1.750,20,1.0000,1.0000,47.44
7,0,1.750,-1.750,7,1.0000,1.0000,45.29
0,1,-1.750,-1.250,14,1.0000,1.0000,52.34
1,1,-1.250,-1.250,26,1.0000,1.0000,48.67
2,1,-0.750,-1.250,27,1.0000,1.0000,54.12
3,1,-0.250,-1.250,30,1.0000,1.0000,49.99
4,1,0.250,-1.250,28,1.0000,1.0000,47.48
5,1,0.750,-1.250,17,1.0000,1.0000,44.95
6,1,1.250,-1.250,19,1.0000,1.0000,48.13
7,1,1.750,-1.250,19,1.0000,1.0000,51.56
0,2,-1.750,-0.750,22,1.0000,1.0000,53.34
1,2,-1.250,-0.750,30,1.0000,1.0000,43.41
2,2,-0.750,-0.750,27,1.0000,1.0000,40.11
3,2,-0.250,-0.750,27,1.0000,1.0000,38.54
4,2,0.250,-0.750,27,1.0000,1.0000,39.57
5,2,0.750,-0.750,30,1.0000,1.0000,42.86
6,2,1.250,-0.750,28,1.0000,1.0000,49.30
7,2,1.750,-0.750,16,1.0000,1.0000,56.33
0,3,-1.750,-0.250,13,1.0000,1.0000,39.08
1,3,-1.250,-0.250,19,1.0000,1.0000,39.30
2,3,-0.750,-0.250,18,1.0000,1.0000,38.24
3,3,-0.250,-0.250,20,1.0000,1.0000,37.35
4,3,0.250,-0.250,18,1.0000,1.0000,40.69
5,3,0.750,-0.250,25,1.0000,1.0000,47.12
6,3,1.250,-0.250,24,1.0000,1.0000,51.64
7,3,1.750,-0.250,19,1.0000,1.0000,55.93
0,4,-1.750,0.250,12,1.0000,1.0000,38.45
1,4,-1.250,0.250,18,1.0000,1.0000,41.02
2,4,-0.750,0.250,20,1.0000,1.0000,43.59
3,4,-0.250,0.250,17,1.0000,1.0000,53.57
4,4,0.250,0.250,20,1.0000,1.0000,49.90
5,4,0.750,0.250,18,1.0000,1.0000,48.32
6,4,1.250,0.250,18,1.0000,1.0000,49.55
7,4,1.750,0.250,14,1.0000,1.0000,44.49
0,5,-1.750,0.750,16,1.0000,1.0000,49.78
1,5,-1.250,0.750,18,1.0000,1.0000,41.13
2,5,-0.750,0.750,20,1.0000,1.0000,41.76
3,5,-0.250,0.750,17,1.0000,1.0000,44.64
4,5,0.250,0.750,20,1.0000,1.0000,44.83
5,5,0.750,0.750,19,1.0000,1.0000,45.84
6,5,1.250,0.750,19,1.0000,1.0000,50.11
7,5,1.750,0.750,10,1.0000,1.0000,47.58
0,6,-1.750,1.250,8,1.0000,1.0000,53.81
1,6,-1.250,1.250,19,1.0000,1.0000,63.64
2,6,-0.750,1.250,19,1.0000,1.0000,66.75
3,6,-0.250,1.250,19,1.0000,1.0000,65.01
4,6,0.250,1.250,16,1.0000,1.0000,62.24
5,6,0.750,1.250,13,1.0000,1.0000,54.48
6,6,1.250,1.250,21,1.0000,1.0000,54.12
7,6,1.750,1.250,18,1.0000,1.0000,49.37
0,7,-1.750,1.750,4,1.0000,1.0000,65.31
1,7,-1.250,1.750,17,1.0000,1.0000,61.05
2,7,-0.750,1.750,19,1.0000,1.0000,56.90
3,7,-0.250,1.750,19,1.0000,1.0000,55.20
4,7,0.250,1.750,18,1.0000,1.0000,51.94
5,7,0.750,1.750,17,1.0000,1.0000,50.34
6,7,1.250,1.750,20,1.0000,1.0000,49.37
7,7,1.750,1.750,6,1.0000,1.0000,46.02
