rank,h_m,r_m,rel_az_deg,cam_c_az_deg,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tag_visibility_ratio,longest_blind_gap_s,tilt_deg,n_subjects
17,3.0,3.5,180.0,285.0,0.8436892528103587,True,ok,False,0.8323467991683325,0.9680877407072332,0.7796610169491526,50.177576149700144,80.31664632812841,66.23683099693721,1.0,3560.175677548361,1.0,75.97818765960244,98.79741070999107,55.05911437180379,74.07803789701244,1.0,0.0,29.74488129694222,1
18,3.0,3.5,150.0,60.0,0.8308129454448236,True,ok,False,0.8387211907261126,0.9576854792223953,0.7330508474576272,49.03018566929971,90.19879473872444,75.25079462560161,3.0,2457.8256423165853,1.0,67.96855104042366,94.34194717549441,44.62132136407958,64.942384581697,1.0,0.0,29.74488129694222,1
19,3.0,4.0,150.0,255.0,0.830745143580558,True,ok,False,0.8249009013018926,0.9791853290548378,0.7415254237288136,51.517837765659316,69.7739373979041,49.208503069848646,2.0,2934.0870783657488,1.0,86.26236362979405,101.20127956205536,78.79290566366339,78.79290566366339,1.0,0.0,26.56505117707799,1
20,3.0,3.5,180.0,255.0,0.8302695513685876,True,ok,False,0.8286637432045464,0.9674002632383515,0.7415254237288136,50.84052622318164,80.969749923566,65.00193416295167,4.0,1810.657019992711,1.0,75.97818765960244,98.79741070999107,74.07803789701245,55.05911437180377,1.0,0.0,29.74488129694222,1
21,3.5,4.0,180.0,285.0,0.8268613639344424,True,ok,False,0.7937071719537216,0.9678354999573996,0.788135593220339,57.13270904833009,80.55627504047037,58.9129237364936,2.0,2346.1952661898395,1.0,75.16051544243197,97.62814966858072,54.53425686054606,73.31913979816916,1.0,0.0,32.005383208083494,1
22,3.0,4.0,180.0,90.0,0.8225639343942615,True,ok,False,0.8209246978412121,0.9736435205886161,0.7245762711864406,52.233554388581794,75.0386554408147,54.93138726904733,2.0,3205.8417976098485,1.0,81.35327088670864,106.26020470831197,68.89980397590698,68.89980397590698,1.0,0.0,26.56505117707799,1
23,3.5,4.5,180.0,90.0,0.8208033686183702,True,ok,False,0.7698199902263667,0.9527719522716973,0.8177966101694916,61.43240175925398,94.86664534188748,70.08679309440427,0.0,3797.2455370184884,1.0,79.98786376496916,104.2500326978036,67.85677929855194,67.85677929855194,0.9736842105263158,0.3515586346651601,29.054604099077146,1
24,3.0,4.0,150.0,90.0,0.8158173434544724,True,ok,False,0.8073117666679209,0.9421632328059498,0.7457627118644068,54.683881999774236,104.94492883434768,87.69524055635269,2.0,2779.978836766937,1.0,72.41914683145534,101.20127956205536,68.89980397590698,47.15635695640366,1.0,0.0,26.56505117707799,1
25,3.0,4.5,150.0,75.0,0.8143901682222521,True,ok,False,0.8160720302775272,0.9576182230445611,0.7161016949152542,53.107034550045114,90.26268810766686,70.19987072384426,1.0,6868.014155132146,1.0,76.2329412439954,106.9695684757849,60.86462762810064,60.86462762810065,1.0,0.0,23.962488974578182,1
26,3.5,4.5,150.0,60.0,0.8111016935649338,True,ok,False,0.8176496255162609,0.9562996582713049,0.7033898305084746,52.82306740707304,91.51532464226032,74.64514816927475,3.0,2758.255471635798,1.0,71.2368881423525,99.36233448138768,46.491550647117855,67.85677929855197,1.0,0.0,29.054604099077146,1
27,3.5,5.0,180.0,90.0,0.8077591489123135,True,ok,False,0.78723675149643,0.9647716624306619,0.7372881355932204,58.29738473064258,83.46692069087116,57.930089337547656,2.0,3019.8412223964624,1.0,83.87229337835532,110.01595960288267,70.80046026609166,70.80046026609166,0.9391304347826087,0.34945950591773317,26.56505117707799,1
28,3.5,5.0,180.0,270.0,0.8056324149683616,True,ok,False,0.7917525801202051,0.9619162177616342,0.7245762711864406,57.48453557836308,86.17959312644754,66.29876208391681,3.0,2489.960162717166,1.0,83.87229337835534,110.01595960288267,70.80046026609168,70.80046026609166,0.9912280701754386,0.17675281414943458,26.56505117707799,1
29,3.5,4.0,180.0,270.0,0.8038064823412036,True,ok,False,0.8007734572504067,0.9365902940037302,0.7203389830508474,55.860777694926774,110.23922069645633,94.67313159751886,2.0,3261.0857998053375,1.0,75.41068740117676,97.62814966858072,64.30195626747476,64.30195626747476,1.0,0.0,32.005383208083494,1
30,3.5,5.0,180.0,255.0,0.8008784472330637,True,ok,False,0.7970282327623325,0.9630928407001652,0.6991525423728813,56.53491810278016,85.061801334843,66.34799975661885,4.0,2479.107859847171,1.0,83.64015123119556,110.01595960288267,81.07421395713264,59.83028013357133,0.9838709677419355,0.16243882101725757,26.56505117707799,1
31,3.0,4.0,180.0,105.0,0.799736763026169,True,ok,False,0.789813259840083,0.9627099875645355,0.7076271186440678,57.83361322878504,85.4255118136913,59.2371371080648,2.0,3441.400447196297,1.0,81.11383017041994,106.26020470831197,78.79290566366339,58.288380139284484,1.0,0.0,26.56505117707799,1
32,4.5,5.0,180.0,255.0,0.7987018031895929,True,ok,False,0.7495132387831323,0.9311665969562352,0.7923728813559322,65.08761701903619,115.39173289157655,96.15963774557868,1.0,3373.540925545444,1.0,74.03441540140203,96.02557500836669,72.27071985011253,53.80695134572691,0.853448275862069,0.6952801082445228,34.99202019855866,1
33,3.5,4.0,150.0,45.0,0.7966831980698983,True,ok,False,0.8080993214442413,0.9589303986032945,0.6694915254237288,54.54212214003655,89.01612132687026,71.34479308173697,3.0,3271.9067768734703,1.0,66.6851040582755,93.2598224733095,33.4763499033478,73.31913979816919,0.9912280701754386,0.17663147597186332,32.005383208083494,1
34,4.5,5.0,180.0,285.0,0.7936528733729089,True,ok,False,0.7469936976081373,0.9630682584374219,0.7584745762711864,65.54113443053528,85.0851544844492,58.98354495405089,1.0,5106.055300043072,1.0,74.03441540140204,96.02557500836669,53.806951345726915,72.27071985011253,0.7105263157894737,1.4053263031275927,34.99202019855866,1
35,3.0,4.5,180.0,105.0,0.790884121339066,True,ok,False,0.775815796387126,0.9470845055580237,0.711864406779661,60.353156650317324,100.26971971987749,79.16008651088778,3.0,2690.983652309659,1.0,85.3669998093204,112.61986494804043,82.61650685182018,60.86462762810063,0.9652173913043478,0.5242416607706171,23.962488974578182,1
36,3.0,4.0,150.0,75.0,0.7861325717676473,True,ok,False,0.7730912688232733,0.9492058732207314,0.6991525423728814,60.8435716118108,98.25442044030528,72.67030894673213,1.0,8315.310935577927,1.0,72.59267994687478,101.20127956205536,58.2883801392845,58.2883801392845,1.0,0.0,26.56505117707799,1
37,3.5,5.0,180.0,105.0,0.7805574549391746,True,ok,False,0.7352176181876627,0.9397432292267164,0.75,67.66082872622069,107.24393223461952,83.70427845263134,1.0,5335.020405146849,1.0,83.64015123119555,110.01595960288267,81.07421395713266,59.83028013357132,0.9304347826086956,0.6973590599863153,26.56505117707799,1
38,3.0,3.5,150.0,75.0,0.7799166054325031,True,ok,False,0.7918752866432534,0.9601490478425173,0.6398305084745762,57.46244840421439,87.85840454960852,64.10349444303766,3.0,4731.828947378346,1.0,68.15339197303399,94.34194717549441,55.05911437180377,55.05911437180377,1.0,0.0,29.74488129694222,1
39,3.5,4.5,150.0,90.0,0.7795351004840916,True,ok,False,0.7778376292405148,0.9552000733869672,0.6652542372881356,59.98922673670734,92.5599302823812,68.60478759931712,2.0,5401.045190766588,1.0,71.2368881423525,99.36233448138768,67.85677929855194,46.49155064711787,1.0,0.0,29.054604099077146,1
40,3.0,4.0,180.0,75.0,0.7786318893828235,True,ok,False,0.7503766232471428,0.9430653464233786,0.7161016949152542,64.9322078155143,104.08792089779037,73.34659449943383,0.0,18900.55484053845,1.0,81.11383017041996,106.26020470831197,58.2883801392845,78.79290566366339,0.9826086956521739,0.17448344565274423,26.56505117707799,1
