rank,h_m,r_m,rel_az_deg,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,tilt_deg,n_subjects
1,1.5,2.5,60.0,0.7698885822285437,True,ok,True,0.7364671398786031,0.9489000614462105,0.70625,67.43591482185143,98.54494162609998,69.88879459842232,0.0,1408.686552424981,1.0,50.776067601399546,11.309932474020215,1
2,1.5,4.0,120.0,0.7639945312856427,True,ok,True,0.7453502459667262,0.9112845415113978,0.6968749999999999,65.8369557259893,134.27968556417198,119.53478633007157,0.0,1491.1736220828393,1.0,108.36494871111285,7.125016348901798,1
3,2.0,4.5,60.0,0.7569046463152275,True,ok,False,0.7303010127347898,0.918145699739163,0.69375,68.54581770773785,127.76158524779513,107.44967665704431,0.0,1525.251236587718,1.0,54.37524459680167,12.528807709151511,1
4,2.0,4.0,60.0,0.7545187124434708,True,ok,False,0.7245040797360447,0.9066458628772422,0.703125,69.58926564751195,138.68643026661982,119.90774367885501,0.0,1477.7269232085991,1.0,53.13010235415599,14.036243467926479,1
5,1.5,3.5,60.0,0.7542485599250637,True,ok,True,0.7235964164330746,0.9497517585426318,0.675,69.75264504204657,97.73582938449977,67.25236733053327,0.0,1556.3295992360097,1.0,54.71905223641757,8.130102354155978,1
6,1.5,4.5,120.0,0.7500880304724136,True,ok,False,0.736972551196653,0.9095712743704361,0.6656249999999999,67.34494078460247,135.90728934808575,119.87233517611402,0.0,1604.3490358317001,1.0,110.48731511472266,6.340191745909909,1
7,2.0,4.0,120.0,0.7438630840915311,True,ok,True,0.7454587422874215,0.8853560647391018,0.646875,65.81742638826412,158.91173849785332,146.05487272462784,0.0,1671.6565446191375,1.0,101.53695903281547,14.036243467926479,1
8,2.0,3.5,60.0,0.741312340104273,True,ok,False,0.7208431335898753,0.8825788665466772,0.6812499999999999,70.24823595382244,161.5500767806567,146.1465884432859,0.0,1548.6197051788772,1.0,51.45882249174225,15.945395900922854,1
9,2.0,3.0,60.0,0.73002703617321,True,ok,False,0.7201480140984184,0.846640145620004,0.66875,70.37335746228469,195.69186166099615,183.32989041074273,0.0,1576.156411217178,1.0,49.16778297253094,18.43494882292201,1
10,1.5,3.0,60.0,0.7181976500274281,True,ok,True,0.7284621356998212,0.949520410887587,0.546875,68.87681557403218,97.95560965679236,69.38840000655948,0.0,1943.428244028119,1.0,53.13010235415597,9.462322208025617,1
11,2.0,3.5,120.0,0.7158144597082178,True,ok,False,0.7296823683940393,0.8642413775559904,0.59375,68.65717368907292,178.97069132180908,166.3399020891615,0.0,1798.8344757596456,1.0,97.51404546890747,15.945395900922854,1
12,2.0,2.5,60.0,0.7142085589438992,True,ok,False,0.7006803568011991,0.7834044027164987,0.690625,73.87753577578415,255.76581741932628,246.59745513547145,0.0,1529.5418629554965,1.0,45.96306405806085,21.80140948635181,1
13,1.5,2.0,60.0,0.7100426332979026,True,ok,True,0.7400285270407128,0.9407668488877314,0.50625,66.7948651326717,106.27149355665516,83.5155749402818,0.0,2095.234716127272,1.0,47.15635695640366,14.036243467926479,1
14,2.5,4.0,60.0,0.7057060441610881,False,offset>300,False,0.7179931950434426,0.7022972331968341,0.6875,70.76122489218032,332.81762846300757,326.7769014536299,0.0,1533.109811339913,1.0,50.174658857227705,20.556045219583467,1
15,1.5,3.5,90.0,0.7047949795289532,True,ok,False,0.7168747857148372,0.9349129333576734,0.53125,70.9625385713293,111.8327133102102,85.51165095628748,0.0,2005.812231446039,1.0,81.07320417895299,8.130102354155978,1
16,2.0,3.0,120.0,0.7027540133131827,True,ok,False,0.7299947285412579,0.8356582452127682,0.56875,68.60094886257357,206.12466704787022,195.37720535879146,0.0,1876.7568413943452,1.0,92.20422750397204,18.43494882292201,1
17,1.5,2.0,120.0,0.6977080427324308,True,ok,False,0.6985637788410591,0.9124432665595061,0.553125,74.25851980860935,133.17889676846912,116.05625035472924,0.0,1915.25225583841,0.9333333333333333,87.70755722404411,14.036243467926479,1
18,1.5,3.5,120.0,0.6971456526337203,True,ok,False,0.7157190247558796,0.9042432012789028,0.528125,71.17057554394168,140.96895878504233,124.92614532080759,0.0,2017.6613422348123,1.0,105.5001785669987,8.130102354155978,1
19,2.0,4.5,120.0,0.696911322503826,True,ok,False,0.7309377534129523,0.8884622289867493,0.5125,68.43120438566861,155.9608824625882,141.79972920737035,0.0,2073.283305843484,1.0,104.63007725190404,12.528807709151511,1
20,1.5,2.0,90.0,0.694481074120644,True,ok,False,0.7155844841860893,0.9334441601379962,0.5,71.19479284650393,113.2280478689036,88.99457369165322,0.0,2129.589154200044,1.0,68.89980397590698,14.036243467926479,1
21,1.5,3.0,120.0,0.687237813702757,True,ok,False,0.7094760554122396,0.9078114299831866,0.503125,72.29431002579688,137.5791415159727,121.05256140654646,0.0,2116.437348955202,1.0,101.53695903281547,9.462322208025617,1
22,2.0,2.5,120.0,0.6864855737301134,True,ok,False,0.7023536426295838,0.7812312620766076,0.596875,73.57634432667491,257.8303010272227,248.1339250826891,0.0,1792.472542461531,1.0,85.10293679227723,21.80140948635181,1
23,2.5,5.0,60.0,0.6863359331530275,True,ok,False,0.7108085116849537,0.8015333865527533,0.56875,72.05446789670833,238.5432827748844,228.81154500094064,1.0,1668.9008233677187,1.0,53.13010235415599,16.69924423399362,1
24,2.5,4.5,60.0,0.6834912445767796,True,ok,False,0.7150788494090438,0.7578840993612881,0.58125,71.28580710637212,280.0101056067762,272.29606300516764,1.0,1626.1288993994854,1.0,51.83526956247374,18.43494882292201,1
25,1.5,2.5,90.0,0.6807383596907597,True,ok,False,0.71380082617229,0.9348147330230735,0.45625,71.5158512889878,111.9260036280801,85.36546930659001,0.0,2342.6801320894533,1.0,74.65052298299187,11.309932474020215,1
26,2.5,4.0,120.0,0.6799881392932391,False,offset>300,False,0.726768923870808,0.6970808867891756,0.590625,69.18159370325455,337.7731575502832,331.52422426561344,0.0,1809.0802190802829,1.0,94.51106878031649,20.556045219583467,1
27,1.5,5.0,120.0,0.6768749155796121,True,ok,False,0.7173395155672226,0.9066507889800041,0.45625,70.87888719789994,138.68175046899614,120.73268573778887,1.0,1966.1778839916676,1.0,112.0952091427793,5.710593137499643,1
28,2.5,3.5,60.0,0.6658025717853395,False,offset>300,False,0.6866102521365419,0.6281122285853428,0.65625,76.41015461542246,403.2933828439244,398.00302486366627,0.0,1638.8644066653299,1.0,48.01631881379589,23.198590513648185,1
29,2.5,3.5,120.0,0.6650739966838166,False,offset>300,False,0.6943664125640905,0.6332039520088569,0.6375,75.01404573846372,398.45624559158597,392.66528375049876,0.0,1682.0128267626321,1.0,89.61286340889626,23.198590513648185,1
30,1.5,2.5,120.0,0.6646092020015127,True,ok,False,0.6908868133685654,0.9067664765861498,0.459375,75.64037359365823,138.5718472431577,121.14234691129127,0.0,2332.6649854049897,0.9333333333333333,95.90856184597654,11.309932474020215,1
31,1.5,4.0,90.0,0.6644601258427483,True,ok,False,0.7122925806370082,0.9368816776212215,0.40312499999999996,71.78733548533855,109.96240625983958,81.58535698936737,0.0,2750.2308285162985,1.0,82.91811830971423,7.125016348901798,1
32,2.0,3.5,90.0,0.6632723789654992,True,ok,False,0.7183961146965523,0.8781841080861151,0.428125,70.68869935462058,165.72509731819065,150.02783661289666,0.0,2537.633949738127,1.0,75.7499673021964,15.945395900922854,1
33,2.0,4.5,90.0,0.6624809053623548,True,ok,False,0.7016225151499089,0.906785738937002,0.43437499999999996,73.70794727301639,138.55354800984804,116.0176483428664,0.0,2455.3357409783857,1.0,80.5057599520959,12.528807709151511,1
34,1.5,4.5,90.0,0.6507058559688859,True,ok,False,0.7061294339413013,0.9350806949911762,0.36875,72.89670189056575,111.67333975838268,81.93620826086509,1.0,2413.0046894702677,1.0,84.26082952273322,6.340191745909909,1
35,2.5,4.5,120.0,0.6501069007514757,True,ok,False,0.7282217916770056,0.750292524564864,0.453125,68.920077498139,287.22210166337925,280.4557145557703,0.0,2362.9865409019035,1.0,98.40830462026815,18.43494882292201,1
36,2.0,2.0,60.0,0.6492235176050626,False,offset>300,False,0.6479127306179289,0.698210761480491,0.6187499999999999,83.3757084887728,336.69977659353356,329.4540676961405,0.0,1715.0971106989864,1.0,41.40962210927087,26.56505117707799,1
37,2.0,3.0,90.0,0.6473714775358422,True,ok,False,0.7055640628061137,0.8448222306639268,0.41874999999999996,72.99846869489953,197.41888086926951,183.65228183320193,0.0,2591.5311433444936,1.0,72.07978686060771,18.43494882292201,1
38,3.0,4.5,120.0,0.6434965966159689,False,offset>300,False,0.692020208297922,0.47024496233503954,0.678125,75.43636250637404,553.2672857817124,549.5401331078331,0.0,1552.4766841254723,1.0,92.20422750397204,23.962488974578182,1
39,2.0,5.0,120.0,0.6414991978571687,True,ok,False,0.7120022692246278,0.8931153162242739,0.35625,71.83959153956698,151.5404495869399,135.66216534515894,1.0,2430.049479054853,1.0,107.0438466150983,11.309932474020215,1
40,1.5,4.5,60.0,0.636998417636236,True,ok,False,0.6958107545302106,0.9485902018556533,0.33125,74.7540641845621,98.83930823712933,67.23130790057968,0.0,4745.552257291996,1.0,56.63298703076825,6.340191745909909,1
41,2.5,4.0,150.0,0.6335912069357718,False,offset>300,False,0.6926360962532581,0.6957407940457135,0.49374999999999997,75.32550267441356,339.0462456565722,331.2826323539962,0.0,2160.3355712875687,0.7333333333333333,109.99029470647366,20.556045219583467,1
42,1.5,4.0,60.0,0.6334698087368522,True,ok,False,0.6907792736770478,0.948213359491642,0.328125,75.65973073813139,99.19730848294014,67.09316714844358,0.0,4833.913133484993,1.0,55.83044367242729,7.125016348901798,1
43,1.5,5.0,90.0,0.6326441672518341,True,ok,False,0.6804314805450666,0.9324546348965037,0.353125,77.522333501888,114.16809684832151,82.16971915127499,0.0,3570.1011391406296,1.0,85.26376375432812,5.710593137499643,1
44,2.0,2.0,120.0,0.6283751681861794,False,offset>300,False,0.6053021991566897,0.6958078430391731,0.621875,91.04560415179586,338.98254911278553,328.67869867204394,0.0,1709.6476335001876,1.0,75.52248781407008,26.56505117707799,1
45,3.0,5.0,60.0,0.6283160292964778,False,offset>300,False,0.6732791924836803,0.5443196652731883,0.609375,78.80974535293754,482.896317990471,478.14983974646,0.0,1774.5195921637924,1.0,50.776067601399546,21.80140948635181,1
46,1.5,5.0,60.0,0.6261399537680472,True,ok,False,0.6727689701051203,0.947214843577435,0.334375,78.90158538107835,100.14589860143673,65.40423064673432,0.0,4682.311079903393,1.0,57.228883359680886,5.710593137499643,1
47,3.0,5.0,150.0,0.6259265069068769,False,offset>300,False,0.6850112858597035,0.5405418198851257,0.584375,76.69796854525336,486.48527110913057,481.2546290882312,0.0,1828.7766159643793,1.0,111.84379943901526,21.80140948635181,1
48,2.0,5.0,90.0,0.6248916119746886,True,ok,False,0.6753867808218359,0.9156786078188536,0.346875,78.43037945206953,130.10532257208905,102.80522130690512,0.0,3880.7246718726624,1.0,82.07185823379778,11.309932474020215,1
49,2.5,5.0,120.0,0.6226332401776806,True,ok,False,0.7049522968402452,0.7882854587877904,0.375,73.10858656875587,251.12881415159904,242.00580742411034,0.0,3106.4485141040964,1.0,101.53695903281547,16.69924423399362,1
50,2.0,4.0,90.0,0.6225068936942589,True,ok,False,0.6983787713253984,0.8978375401577986,0.3125,74.29182116142829,147.05433685009135,126.30487306575353,1.0,2880.379013506738,1.0,78.46304096718453,14.036243467926479,1
51,3.0,4.5,60.0,0.6182642117163806,False,offset>300,False,0.6596387374278949,0.4625367150121658,0.653125,81.26502726297892,560.5901207384425,556.6954338589745,0.0,1643.1502504709892,1.0,49.16778297253096,23.962488974578182,1
52,2.5,4.5,90.0,0.6162982847282361,True,ok,False,0.6905947476070737,0.7550045546234962,0.4,75.69294543072672,282.74567310767856,271.96515682142143,0.0,2806.5292047624625,1.0,76.3583229709878,18.43494882292201,1
53,1.5,3.0,90.0,0.6138282894097303,True,ok,False,0.6905961861088711,0.9301509817764738,0.275,75.69268650040321,116.35656731234988,89.69366278115503,1.0,3555.6038726452525,1.0,78.46304096718453,9.462322208025617,1
54,2.5,5.0,150.0,0.6057809638764151,True,ok,False,0.6542528578352658,0.7838976747939114,0.40625,82.23448558965215,255.29720894578418,243.15313526007623,1.0,2194.9208685322737,0.6,119.52612239367902,16.69924423399362,1
55,3.0,4.5,150.0,0.603980291029713,False,offset>300,False,0.6607684036664576,0.46329294598242077,0.6031249999999999,81.06168734003764,559.8717013167003,555.1280966569758,0.0,1787.985148769663,1.0,106.9695684757849,23.962488974578182,1
56,2.0,3.0,150.0,0.600780845199255,True,ok,False,0.6431250810455971,0.8242165233822825,0.38125,84.23748541179253,216.99430278683167,203.260980459968,0.0,3075.375074743445,0.6,106.9695684757849,18.43494882292201,1
57,2.5,4.0,90.0,0.5989025854031994,False,offset>300,False,0.6784407676570383,0.7030985078734016,0.396875,77.8806618217331,332.0564175202685,323.07493969450235,0.0,2822.187177534476,1.0,73.68614022272233,20.556045219583467,1
58,3.0,4.5,180.0,0.5929358310174707,False,offset>300,False,0.6202765926840222,0.4718001733772981,0.628125,88.350213316876,551.7898352915668,544.8335333604338,0.0,1701.1934416438316,0.6666666666666666,112.61986494804043,23.962488974578182,1
59,2.0,2.0,180.0,0.5926914219519862,False,offset>300,False,0.48514018742812937,0.7006066411896077,0.7,112.67476626293671,334.4236908698726,314.406193612563,0.0,1483.6981767961918,0.6,90.0,26.56505117707799,1
60,2.0,2.5,150.0,0.589741893315209,True,ok,False,0.6364949023299372,0.776222210751202,0.38749999999999996,85.4309175806113,262.588899786358,250.00609559755046,0.0,2938.1741144046737,0.6,97.92173991239194,21.80140948635181,1
61,3.0,4.0,120.0,0.5891197076248127,False,offset>300,False,0.6536065471081991,0.36001967035356564,0.6343749999999999,82.35082152052416,657.9813131641126,654.9702075258972,0.0,1689.1204026293558,1.0,87.70755722404411,26.56505117707799,1
62,2.5,3.0,60.0,0.5882080179920536,False,offset>300,False,0.6193036454188855,0.5302809764130543,0.575,88.52534382460061,496.2330724075984,490.82844822499027,0.0,1860.1248690311966,1.0,45.17707757596975,26.56505117707799,1
63,2.5,4.5,150.0,0.5872979972723096,True,ok,False,0.6624982281982622,0.7458694158658921,0.35625,80.75031892431281,291.42405492740255,281.0998066161848,2.0,2269.845462955331,0.6,115.20923155492801,18.43494882292201,1
64,2.0,5.0,60.0,0.5867183632796373,True,ok,False,0.7031393500163198,0.9132434413573872,0.175,73.43491699706244,132.41873071048218,107.96612931273138,1.0,26925.30447696476,1.0,55.32188041333616,11.309932474020215,1
65,2.5,3.0,180.0,0.5861705080739176,False,offset>300,False,0.5526721379487354,0.5413596954977493,0.671875,100.51901516922763,485.70828927713814,476.0805241217757,0.0,1563.1822964873866,0.8,100.38885781546962,26.56505117707799,1
66,3.0,4.0,60.0,0.5836069342298333,False,offset>300,False,0.6270385468097426,0.36137580412481013,0.659375,87.13306157424634,656.6929860814304,653.4375695882782,0.0,1633.8965075218534,1.0,47.15635695640366,26.56505117707799,1
67,2.5,5.0,90.0,0.5835488158483881,True,ok,False,0.6651422049908614,0.8002010667647872,0.303125,80.27440310164495,239.80898657345224,225.70421083476703,1.0,3022.536794814308,1.0,78.46304096718451,16.69924423399362,1
68,2.5,3.5,150.0,0.5796969066889875,False,offset>300,False,0.6275949829059579,0.6263720761800426,0.46875,87.03290307692757,404.94652762895953,395.93389880464446,0.0,2286.9584752337,0.9333333333333333,103.6276663859337,23.198590513648185,1
69,1.5,1.5,120.0,0.5779780804966755,True,ok,False,0.6554928720853002,0.8949082222701272,0.2375,82.01128302464598,149.83718884337912,126.95821089921019,1.0,5045.798202185076,0.8666666666666667,75.52248781407006,18.43494882292201,1
70,1.5,1.5,60.0,0.5776048654062177,True,ok,False,0.6768311695603415,0.9100089031302349,0.190625,78.17038947913852,135.4915420262769,113.52028938071665,2.0,6119.713420771258,1.0,41.40962210927084,18.43494882292201,1
71,2.0,2.0,90.0,0.5713746715417352,False,offset>300,False,0.6182787564792717,0.7018014665104968,0.40625,88.7098238337311,333.288606815028,324.1468338179809,3.0,1947.599954571294,1.0,60.00000000000001,26.56505117707799,1
72,2.0,2.5,90.0,0.5695765796199123,True,ok,False,0.666806228636686,0.7871173265078459,0.2625,79.97487884539652,252.23853981754627,238.8582118586529,4.0,2702.0009735191,1.0,67.03032342765592,21.80140948635181,1
73,3.0,4.0,150.0,0.5655231306636168,False,offset>300,False,0.6067458165882761,0.3638761118473941,0.63125,90.78575301411031,654.3176937449756,649.4395493272342,0.0,1693.8576708282376,1.0,101.20127956205536,26.56505117707799,1
74,2.0,2.0,150.0,0.5647295791418556,False,offset>300,False,0.5863942882769672,0.6967246750168604,0.440625,94.4490281101459,338.11155873398263,326.8920755061252,0.0,2428.870688625469,0.7333333333333333,86.15903428374187,26.56505117707799,1
75,2.5,3.0,150.0,0.5604056138731967,False,offset>300,False,0.5993822297329255,0.5301349950336691,0.515625,92.11119864807341,496.37175471801436,489.44705175122135,0.0,2046.699130635344,1.0,95.81178297924637,26.56505117707799,1
76,3.0,4.0,180.0,0.5553020960777163,False,offset>300,False,0.5787125529097366,0.3687915981142402,0.640625,95.83174047624742,649.6479817914718,643.546140469636,0.0,1677.9607405951479,0.8666666666666667,106.26020470831197,26.56505117707799,1
77,3.0,5.0,90.0,0.5426884638638436,False,offset>300,False,0.6471530001553896,0.5471223189307438,0.365625,83.51245997202989,480.23379701579336,472.6062460454217,1.0,2413.1206016452197,1.0,74.65052298299187,21.80140948635181,1
78,3.0,4.0,90.0,0.5343924054779803,False,offset>300,False,0.6086250501782902,0.36758690194417615,0.521875,90.44749096790777,650.7924431530327,646.0297632692888,0.0,2020.5742818821068,1.0,68.89980397590698,26.56505117707799,1
79,3.0,4.5,90.0,0.5267184973342287,False,offset>300,False,0.6275399573181493,0.4694300933757706,0.396875,87.04280768273314,554.041411293018,547.4058288312319,1.0,2205.3922111600955,1.0,72.07978686060771,23.962488974578182,1
80,3.5,5.0,60.0,0.5252775112566698,False,offset>300,False,0.6063988522262747,0.18695292571766206,0.615625,90.84820659927055,822.394720568221,819.6078430059508,0.0,1761.3157346911744,1.0,48.36142462055131,26.56505117707799,1
81,3.0,5.0,120.0,0.5096865175688723,False,offset>300,False,0.7024761605070375,0.5344296865767677,0.171875,73.55429110873325,492.2917977520707,488.04370864555,2.0,9364.84441970596,1.0,95.90856184597654,21.80140948635181,1
82,2.0,1.5,180.0,0.5090177251588935,False,offset>300,False,0.38292672327981514,0.5612093175949299,0.684375,131.07318980963328,466.8511482848166,456.9348824842292,0.0,1538.4564787461482,0.8666666666666667,73.73979529168804,33.690067525979785,1
83,2.5,2.5,120.0,0.504290122240086,False,offset>300,False,0.5221948847633612,0.4003383992920269,0.54375,106.00492074259499,619.6785206725745,615.5958466647694,0.0,1944.64297050705,1.0,75.52248781407008,30.96375653207352,1
84,2.5,2.5,150.0,0.4981451523112191,False,offset>300,False,0.48321709034160193,0.40143303570209077,0.5874999999999999,113.02092373851166,618.6386160830137,611.4960891552776,0.0,1814.152313175431,1.0,86.15903428374189,30.96375653207352,1
85,3.0,3.5,120.0,0.49266265089208494,False,offset>300,False,0.5701389657159931,0.23640334017044218,0.534375,97.37498617112125,775.4168268380799,772.7813577692033,0.0,1983.538964201686,1.0,82.22437237487944,29.74488129694222,1
86,2.5,2.5,60.0,0.4923821706650981,False,offset>300,False,0.5163054770009937,0.40708466082300626,0.5093749999999999,107.06501413982113,613.269572218144,608.3188632010465,0.0,2083.636973259833,1.0,41.40962210927087,30.96375653207352,1
87,3.0,3.5,150.0,0.48729475748855666,False,offset>300,False,0.5325126565184648,0.2380046461466212,0.578125,104.14772182667633,773.8955861607099,769.4841737214014,0.0,1835.532265905303,1.0,94.34194717549441,29.74488129694222,1
88,3.0,3.5,60.0,0.48571031133632614,False,offset>300,False,0.53611195848147,0.23983416047795583,0.565625,103.49984747333541,772.157547545942,768.7346241585124,0.0,1881.7721666124644,1.0,44.62132136407958,29.74488129694222,1
89,3.5,4.5,150.0,0.48238963824611836,False,offset>300,False,0.5710449359859083,0.06558585126582114,0.6125,97.2119115225365,937.6934412974699,934.7316249756581,0.0,1763.2858867321006,1.0,99.36233448138768,29.054604099077146,1
90,3.0,3.5,180.0,0.47238479229446545,False,offset>300,False,0.4879578824866935,0.24202925525559355,0.6,112.16758115239517,770.0722075071861,764.0839448693945,0.0,1791.3688412731908,1.0,98.79741070999107,29.74488129694222,1
91,2.5,2.5,180.0,0.4683098286206113,False,offset>300,False,0.4394692358717212,0.4085010534237534,0.5562499999999999,120.89553754309019,611.9239992474343,603.3517594469002,0.0,1909.7685944562154,1.0,90.0,30.96375653207352,1
92,2.0,1.5,150.0,0.4634407753154547,False,offset>300,False,0.4175953848501093,0.5607154144520003,0.475,124.83283072698033,467.32035627059963,459.21588185259884,0.0,2259.00233373541,1.0,70.83856930212471,33.690067525979785,1
93,3.5,4.5,180.0,0.4589952119930666,False,offset>300,False,0.5141573921048198,0.0720825797032834,0.625,107.45166942113244,931.5215492818808,926.9476439763978,0.0,1705.5142957537817,1.0,104.2500326978036,29.054604099077146,1
94,3.5,4.5,60.0,0.45795700532946737,False,offset>300,False,0.5466389485144568,0.06537515536119468,0.5718749999999999,101.60498926739777,937.893602406865,935.1134044635058,0.0,1860.2521823884165,1.0,46.491550647117855,29.054604099077146,1
95,3.5,5.0,90.0,0.4283692819017119,False,offset>300,False,0.5656924595239705,0.1885527606986333,0.359375,98.17535728568531,820.8748773362984,816.3024896272096,0.0,3518.510961163566,1.0,70.80046026609166,26.56505117707799,1
96,3.5,5.0,120.0,0.42563670584126523,False,offset>300,False,0.6203994542082674,0.18343489368565793,0.2625,88.32809824251187,825.736850998625,822.9914830004777,1.0,4062.0626782023464,1.0,90.38453831980483,26.56505117707799,1
97,2.0,1.5,120.0,0.4184489652653574,False,offset>300,False,0.3960862993712826,0.5582790778985804,0.3625,128.70446611316913,469.63487599634857,460.0511883169329,1.0,2414.6392618125824,1.0,62.612892497346095,33.690067525979785,1
98,2.5,2.5,90.0,0.409870042558311,False,offset>300,False,0.48692140369532017,0.40079670355325453,0.2875,112.35414733484237,619.2431316244082,612.5999988402868,1.0,3301.377036922378,1.0,60.00000000000001,30.96375653207352,1
99,3.5,4.0,60.0,0.40571945989515307,False,offset>300,False,0.4476889197903062,0.0,0.60625,119.41599443774489,1072.8074584418173,1070.0935045185977,0.0,1778.2750410872416,1.0,44.20792594301601,32.005383208083494,1
100,3.5,5.0,180.0,0.39747940064937237,False,offset>300,False,0.5693763983829733,0.19364350728942842,0.246875,97.51224829106481,816.038668075043,810.8786810194921,2.0,3516.2261553185144,1.0,110.01595960288267,26.56505117707799,1
101,3.5,4.0,150.0,0.39138660734632896,False,offset>300,False,0.48277321469265794,0.0,0.5,113.10082135532157,1076.4227230632514,1073.594172144429,1.0,1831.1422928593202,1.0,93.2598224733095,32.005383208083494,1
102,4.0,5.0,150.0,0.3874654100059941,False,offset>300,False,0.5068058200119882,0.0,0.446875,108.77495239784213,1239.088008005009,1236.5420379376496,2.0,1892.044308256684,1.0,97.92173991239194,30.96375653207352,1
103,3.0,3.0,150.0,0.3846861342421866,False,offset>300,False,0.40704738140331265,0.08081221770265146,0.55,126.73147134740373,923.2283931824811,919.3203517967871,0.0,1931.8302902096884,1.0,86.15903428374187,33.690067525979785,1
104,3.5,4.0,180.0,0.37712391485334373,False,offset>300,False,0.41862282970668757,0.0,0.559375,124.64789065279624,1072.0490068535769,1067.6175845840214,0.0,1895.2372563223232,1.0,97.62814966858072,32.005383208083494,1
