ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,4,1.0000,1.0000,58.91
1,0,-1.250,-1.750,19,1.0000,1.0000,51.23
2,0,-0.750,-1.750,19,1.0000,1.0000,50.87
3,0,-0.250,-1.750,16,1.0000,1.0000,48.43
4,0,0.250,-1.750,17,1.0000,1.0000,45.90
5,0,0.750,-1.750,20,1.0000,1.0000,46.64
6,0,1.250,-1.750,18,1.0000,1.0000,44.30
7,0,1.750,-1.750,8,1.0000,1.0000,48.14
0,1,-1.750,-1.250,10,1.0000,1.0000,47.11
1,1,-1.250,-1.250,32,1.0000,1.0000,46.50
2,1,-0.750,-1.250,27,1.0000,1.0000,52.61
3,1,-0.250,-1.250,22,1.0000,1.0000,51.47
4,1,0.250,-1.250,19,1.0000,1.0000,51.01
5,1,0.750,-1.250,20,1.0000,1.0000,48.14
6,1,1.250,-1.250,18,1.0000,1.0000,54.57
7,1,1.750,-1.250,17,1.0000,1.0000,52.57
0,2,-1.750,-0.750,26,1.0000,1.0000,47.42
1,2,-1.250,-0.750,26,1.0000,1.0000,44.97
2,2,-0.750,-0.750,27,1.0000,1.0000,39.11
3,2,-0.250,-0.750,32,1.0000,1.0000,39.96
4,2,0.250,-0.750,29,1.0000,1.0000,40.25
5,2,0.750,-0.750,23,1.0000,1.0000,47.47
6,2,1.250,-0.750,31,1.0000,1.0000,53.61
7,2,1.750,-0.750,15,1.0000,1.0000,55.11
0,3,-1.750,-0.250,14,1.0000,1.0000,39.83
1,3,-1.250,-0.250,16,1.0000,1.0000,39.44
2,3,-0.750,-0.250,19,1.0000,1.0000,37.86
3,3,-0.250,-0.250,22,1.0000,1.0000,41.84
4,3,0.250,-0.250,27,1.0000,1.0000,48.50
5,3,0.750,-0.250,27,1.0000,1.0000,51.11
6,3,1.250,-0.250,28,1.0000,1.0000,53.14
7,3,1.750,-0.250,18,1.0000,1.0000,54.79
0,4,-1.750,0.250,11,1.0000,1.0000,42.53
1,4,-1.250,0.250,19,1.0000,1.0000,44.02
2,4,-0.750,0.250,20,1.0000,1.0000,44.33
3,4,-0.250,0.250,18,1.0000,1.0000,60.13
4,4,0.250,0.250,17,1.0000,1.0000,58.76
5,4,0.750,0.250,22,1.0000,1.0000,55.74
6,4,1.250,0.250,18,1.0000,1.0000,51.89
7,4,1.750,0.250,11,1.0000,1.0000,48.55
0,5,-1.750,0.750,13,1.0000,1.0000,52.67
1,5,-1.250,0.750,21,1.0000,1.0000,44.61
2,5,-0.750,0.750,18,1.0000,1.0000,41.30
3,5,-0.250,0.750,17,1.0000,1.0000,45.19
4,5,0.250,0.750,20,1.0000,1.0000,43.44
5,5,0.750,0.750,19,1.0000,1.0000,43.39
6,5,1.250,0.750,17,1.0000,1.0000,46.71
7,5,1.750,0.750,12,1.0000,1.0000,50.48
0,6,-1.750,1.250,11,1.0000,1.0000,67.34
1,6,-1.250,1.250,17,1.0000,1.0000,78.95
2,6,-0.750,1.250,18,1.0000,1.0000,67.01
3,6,-0.250,1.250,20,1.0000,1.0000,61.45
4,6,0.250,1.250,20,1.0000,1.0000,54.17
5,6,0.750,1.250,15,1.0000,1.0000,50.35
6,6,1.250,1.250,20,1.0000,1.0000,52.37
7,6,1.750,1.250,18,1.0000,1.0000,52.42
0,7,-1.750,1.750,5,1.0000,1.0000,67.71
1,7,-1.250,1.750,16,1.0000,1.0000,60.72
2,7,-0.750,1.750,19,1.0000,1.0000,54.80
3,7,-0.250,1.750,20,1.0000,1.0000,52.18
4,7,0.250,1.750,19,1.0000,1.0000,51.92
5,7,0.750,1.750,17,1.0000,1.0000,51.92
6,7,1.250,1.750,20,1.0000,1.0000,56.80
7,7,1.750,1.750,6,1.0000,1.0000,50.23
