ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,4,1.0000,1.0000,37.78
1,0,-1.250,-1.750,18,1.0000,1.0000,46.08
2,0,-0.750,-1.750,19,1.0000,1.0000,45.77
3,0,-0.250,-1.750,20,1.0000,1.0000,44.22
4,0,0.250,-1.750,17,1.0000,1.0000,44.68
5,0,0.750,-1.750,17,1.0000,1.0000,45.96
6,0,1.250,-1.750,20,1.0000,1.0000,45.39
7,0,1.750,-1.750,7,1.0000,1.0000,43.28
0,1,-1.750,-1.250,14,1.0000,1.0000,49.21
1,1,-1.250,-1.250,28,1.0000,1.0000,44.40
2,1,-0.750,-1.250,26,1.0000,1.0000,43.21
3,1,-0.250,-1.250,27,1.0000,1.0000,45.07
4,1,0.250,-1.250,14,1.0000,1.0000,48.52
5,1,0.750,-1.250,15,1.0000,1.0000,51.56
6,1,1.250,-1.250,20,1.0000,1.0000,50.28
7,1,1.750,-1.250,18,1.0000,1.0000,55.78
0,2,-1.750,-0.750,23,1.0000,1.0000,50.00
1,2,-1.250,-0.750,28,1.0000,1.0000,49.13
2,2,-0.750,-0.750,29,1.0000,1.0000,45.45
3,2,-0.250,-0.750,29,1.0000,1.0000,44.46
4,2,0.250,-0.750,26,1.0000,1.0000,49.35
5,2,0.750,-0.750,29,1.0000,1.0000,49.79
6,2,1.250,-0.750,29,1.0000,1.0000,51.87
7,2,1.750,-0.750,16,1.0000,1.0000,55.74
0,3,-1.750,-0.250,12,1.0000,1.0000,59.49
1,3,-1.250,-0.250,19,1.0000,1.0000,55.17
2,3,-0.750,-0.250,19,1.0000,1.0000,51.37
3,3,-0.250,-0.250,19,1.0000,1.0000,47.65
4,3,0.250,-0.250,28,1.0000,1.0000,51.73
5,3,0.750,-0.250,28,1.0000,1.0000,50.89
6,3,1.250,-0.250,28,1.0000,1.0000,51.74
7,3,1.750,-0.250,20,1.0000,1.0000,52.66
0,4,-1.750,0.250,13,1.0000,1.0000,58.45
1,4,-1.250,0.250,19,1.0000,1.0000,54.15
2,4,-0.750,0.250,18,1.0000,1.0000,52.94
3,4,-0.250,0.250,19,1.0000,1.0000,50.33
4,4,0.250,0.250,19,1.0000,1.0000,51.16
5,4,0.750,0.250,17,1.0000,1.0000,60.56
6,4,1.250,0.250,12,1.0000,1.0000,56.66
7,4,1.750,0.250,15,1.0000,1.0000,49.20
0,5,-1.750,0.750,12,1.0000,1.0000,50.50
1,5,-1.250,0.750,20,1.0000,1.0000,53.92
2,5,-0.750,0.750,19,1.0000,1.0000,52.56
3,5,-0.250,0.750,17,1.0000,1.0000,59.77
4,5,0.250,0.750,18,1.0000,1.0000,55.31
5,5,0.750,0.750,19,1.0000,1.0000,51.99
6,5,1.250,0.750,19,1.0000,1.0000,53.81
7,5,1.750,0.750,9,1.0000,1.0000,51.92
0,6,-1.750,1.250,9,1.0000,1.0000,51.08
1,6,-1.250,1.250,17,1.0000,1.0000,52.57
2,6,-0.750,1.250,20,1.0000,1.0000,50.28
3,6,-0.250,1.250,20,1.0000,0.9500,51.62
4,6,0.250,1.250,17,1.0000,1.0000,48.73
5,6,0.750,1.250,17,1.0000,1.0000,49.33
6,6,1.250,1.250,19,1.0000,1.0000,52.62
7,6,1.750,1.250,18,1.0000,1.0000,53.80
0,7,-1.750,1.750,4,1.0000,1.0000,46.92
1,7,-1.250,1.750,18,1.0000,1.0000,49.63
2,7,-0.750,1.750,18,1.0000,1.0000,47.45
3,7,-0.250,1.750,19,1.0000,1.0000,47.54
4,7,0.250,1.750,19,1.0000,1.0000,48.66
5,7,0.750,1.750,18,1.0000,1.0000,47.86
6,7,1.250,1.750,19,1.0000,1.0000,47.74
7,7,1.750,1.750,7,1.0000,1.0000,54.17
