ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,3,1.0000,1.0000,57.99
1,0,-1.250,-1.750,21,1.0000,1.0000,48.87
2,0,-0.750,-1.750,18,1.0000,1.0000,42.59
3,0,-0.250,-1.750,18,1.0000,1.0000,46.20
4,0,0.250,-1.750,19,1.0000,1.0000,41.67
5,0,0.750,-1.750,20,1.0000,1.0000,44.25
6,0,1.250,-1.750,17,1.0000,1.0000,43.20
7,0,1.750,-1.750,8,1.0000,1.0000,43.36
0,1,-1.750,-1.250,13,1.0000,1.0000,48.09
1,1,-1.250,-1.250,29,1.0000,1.0000,45.67
2,1,-0.750,-1.250,28,1.0000,1.0000,55.78
3,1,-0.250,-1.250,23,1.0000,1.0000,48.87
4,1,0.250,-1.250,20,1.0000,1.0000,47.12
5,1,0.750,-1.250,20,1.0000,1.0000,44.84
6,1,1.250,-1.250,18,1.0000,1.0000,46.36
7,1,1.750,-1.250,16,1.0000,1.0000,49.89
0,2,-1.750,-0.750,25,1.0000,1.0000,46.01
1,2,-1.250,-0.750,28,1.0000,1.0000,43.24
2,2,-0.750,-0.750,26,1.0000,1.0000,41.00
3,2,-0.250,-0.750,28,1.0000,1.0000,38.86
4,2,0.250,-0.750,31,1.0000,1.0000,41.81
5,2,0.750,-0.750,28,1.0000,1.0000,48.93
6,2,1.250,-0.750,26,1.0000,1.0000,53.08
7,2,1.750,-0.750,18,1.0000,1.0000,54.07
0,3,-1.750,-0.250,10,1.0000,1.0000,36.73
1,3,-1.250,-0.250,20,1.0000,1.0000,40.01
2,3,-0.750,-0.250,19,1.0000,1.0000,38.67
3,3,-0.250,-0.250,17,1.0000,1.0000,37.47
4,3,0.250,-0.250,18,1.0000,1.0000,43.10
5,3,0.750,-0.250,21,1.0000,1.0000,55.17
6,3,1.250,-0.250,29,1.0000,1.0000,53.68
7,3,1.750,-0.250,18,1.0000,1.0000,50.75
0,4,-1.750,0.250,16,1.0000,1.0000,40.62
1,4,-1.250,0.250,18,1.0000,1.0000,43.36
2,4,-0.750,0.250,17,1.0000,1.0000,45.38
3,4,-0.250,0.250,20,1.0000,1.0000,55.48
4,4,0.250,0.250,21,1.0000,1.0000,61.98
5,4,0.750,0.250,16,1.0000,1.0000,57.57
6,4,1.250,0.250,18,1.0000,1.0000,57.64
7,4,1.750,0.250,16,1.0000,1.0000,48.22
0,5,-1.750,0.750,14,1.0000,1.0000,47.33
1,5,-1.250,0.750,17,1.0000,1.0000,44.98
2,5,-0.750,0.750,22,1.0000,1.0000,41.56
3,5,-0.250,0.750,19,1.0000,1.0000,46.48
4,5,0.250,0.750,16,1.0000,1.0000,51.23
5,5,0.750,0.750,18,1.0000,1.0000,48.58
6,5,1.250,0.750,21,1.0000,1.0000,47.54
7,5,1.750,0.750,9,1.0000,1.0000,46.78
0,6,-1.750,1.250,9,1.0000,1.0000,54.15
1,6,-1.250,1.250,18,1.0000,1.0000,62.43
2,6,-0.750,1.250,20,1.0000,1.0000,69.51
3,6,-0.250,1.250,20,1.0000,1.0000,65.61
4,6,0.250,1.250,17,1.0000,1.0000,57.68
5,6,0.750,1.250,18,1.0000,1.0000,52.59
6,6,1.250,1.250,21,1.0000,1.0000,57.42
7,6,1.750,1.250,17,1.0000,1.0000,58.43
0,7,-1.750,1.750,3,1.0000,1.0000,69.54
1,7,-1.250,1.750,17,1.0000,1.0000,70.12
2,7,-0.750,1.750,13,1.0000,1.0000,61.94
3,7,-0.250,1.750,21,1.0000,1.0000,57.27
4,7,0.250,1.750,21,1.0000,1.0000,55.33
5,7,0.750,1.750,17,1.0000,1.0000,56.06
6,7,1.250,1.750,18,1.0000,1.0000,55.28
7,7,1.750,1.750,8,1.0000,1.0000,62.79
