rank,h_m,r_m,rel_az_deg,cam_c_h_m,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tilt_deg,n_subjects
13,3.5,4.5,150.0,5.5,0.8495122729967157,True,ok,False,0.7877880649369492,0.9419567488596927,0.8907563025210085,58.19814831134916,105.14108858329189,87.41429064600861,4.0,9010.428862739116,1.0,67.87078905973043,99.36233448138768,52.1250163489018,52.1250163489018,29.054604099077146,1
14,3.0,4.0,180.0,6.0,0.8483968813739231,True,ok,False,0.7680619718361799,0.9604849394640397,0.9075630252100839,61.748845069487615,87.53930750916236,60.62919362724313,5.0,4517.199648040397,1.0,70.84013647220799,106.26020470831197,53.13010235415599,53.13010235415599,26.56505117707799,1
15,3.0,4.5,180.0,5.5,0.8478361904773724,True,ok,False,0.7869081374121126,0.957834978604479,0.8760504201680672,58.356535265819744,90.056770325745,70.71041904556418,6.0,3661.1800291388313,1.0,75.0799099653603,112.61986494804043,56.30993247402022,56.30993247402022,23.962488974578182,1
16,3.0,3.5,180.0,4.5,0.8473070534033522,True,ok,False,0.772060935734518,0.9481896503695418,0.9054621848739495,61.02903156778677,99.21983214893517,80.8389720355123,5.0,4577.162367946997,1.0,65.86494047332737,98.79741070999107,49.39870535499553,49.39870535499553,29.74488129694222,1
17,3.5,4.0,180.0,6.0,0.8467303479852477,True,ok,False,0.7605051294130427,0.9521368155532953,0.9201680672268908,63.10907670565232,95.47002522436946,75.35869874817077,4.0,5212.637815526996,1.0,65.08543311238715,97.62814966858072,48.81407483429036,48.81407483429036,32.005383208083494,1
18,3.0,4.0,180.0,4.5,0.8438825599289159,True,ok,False,0.8020426688001725,0.9569531864676777,0.8382352941176471,55.632319615968946,90.89447285570623,73.2170792050735,7.0,3270.188030707538,1.0,70.84013647220799,106.26020470831197,53.13010235415599,53.13010235415599,26.56505117707799,1
19,2.5,3.5,150.0,5.5,0.8414420787999892,True,ok,False,0.819550092080126,0.9482511301861855,0.8067226890756303,52.48098342557734,99.16142632312375,83.11061114740495,8.0,2220.101000748907,1.0,70.85077026732831,103.6276663859337,54.46232220802562,54.46232220802562,23.198590513648185,1
20,4.0,4.5,180.0,6.5,0.84128258282087,True,ok,False,0.792577350460661,0.9644653362720249,0.8403361344537815,57.336076917081,83.75793054157634,64.94122135989923,7.0,3138.174339209616,1.0,64.4886142179064,96.73292132685961,48.366460663429805,48.366460663429805,33.690067525979785,1
21,3.5,5.0,180.0,3.5,0.8409775592948687,True,ok,False,0.7719284466390579,0.9452347471035898,0.8865546218487395,61.05287960496957,102.02699025158967,84.28337708837668,5.0,6717.541091663889,1.0,73.34397306858845,110.01595960288267,55.00797980144133,55.00797980144133,26.56505117707799,1
22,3.5,5.0,180.0,6.5,0.8400605516987667,True,ok,False,0.7716859042707102,0.9633148885733605,0.8718487394957983,61.09653723127217,84.85085585530763,61.01702603116586,6.0,3996.772552973309,1.0,73.34397306858845,110.01595960288267,55.00797980144134,55.00797980144134,26.56505117707799,1
