rank,h_m,r_m,rel_az_deg,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,tilt_deg,n_subjects
19,2.5,4.0,60.0,0.7296193333162209,True,ok,False,0.7455247228323578,0.9597506980095267,0.5496894409937888,65.80554989017558,88.23683689094953,56.025146730239065,0.0,970.2876001755546,1.0,50.174658857227705,20.556045219583467,1
20,4.5,5.0,180.0,0.7288299801467154,True,ok,False,0.7477079453560953,0.9689794162253259,0.5372670807453416,65.41256983590286,79.46955458594039,47.78688402331624,0.0,1037.80424380069,1.0,96.02557500836669,34.99202019855866,1
21,3.0,3.5,150.0,0.7222035328208405,True,ok,False,0.7612942961418581,0.9624403088427248,0.4968944099378882,62.967026694465545,85.6817065994114,60.366074908874104,0.0,1126.503006398233,1.0,94.34194717549441,29.74488129694222,1
22,2.5,3.5,60.0,0.7221244941312538,True,ok,False,0.728160411811831,0.956370509449673,0.5559006211180124,68.93112587387044,91.44801602281076,57.3556762832272,0.0,958.4953670117342,1.0,48.01631881379589,23.198590513648185,1
23,2.5,3.0,120.0,0.7194407334517681,True,ok,False,0.763910585339392,0.9467439740966953,0.4937888198757764,62.49609463890944,100.59322460813945,81.6625525074459,0.0,1128.7954610630118,1.0,83.41055797302093,26.56505117707799,1
24,3.0,4.0,60.0,0.7177183597193517,True,ok,False,0.7319665813399895,0.9574331092219401,0.5341614906832298,68.24601535880188,90.43854623915684,57.2671551144035,0.0,1041.6789482335803,1.0,47.15635695640366,26.56505117707799,1
25,2.0,1.5,180.0,0.717645000229911,True,ok,False,0.7058218231711922,0.9618692009855494,0.5745341614906833,72.9520718291854,86.224259063728,45.214082951973246,0.0,924.3717304024433,0.8666666666666667,73.73979529168804,33.690067525979785,1
26,3.5,5.0,150.0,0.7173500714135437,True,ok,False,0.7488838119645049,0.9598824420632887,0.5031055900621119,65.20091384638911,88.11168003987574,63.00630815641628,0.0,1114.8642448172254,1.0,104.61756669568551,26.56505117707799,1
27,2.5,2.5,150.0,0.7158896971218082,True,ok,False,0.7399392530306741,0.956308427566517,0.515527950310559,66.81093445447866,91.50699381180874,64.01029686090253,0.0,1077.2071171945365,1.0,86.15903428374189,30.96375653207352,1
28,1.5,2.0,60.0,0.7150798841625364,True,ok,False,0.7477089467799928,0.9561270538626998,0.5,65.4123895796013,91.67929883043517,61.54467353571285,0.0,1125.9344889213546,1.0,47.15635695640366,14.036243467926479,1
