ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,5,1.0000,1.0000,47.09
1,0,-1.250,-1.750,18,1.0000,1.0000,54.20
2,0,-0.750,-1.750,19,1.0000,1.0000,50.16
3,0,-0.250,-1.750,21,1.0000,1.0000,48.05
4,0,0.250,-1.750,16,1.0000,1.0000,50.73
5,0,0.750,-1.750,17,1.0000,1.0000,48.29
6,0,1.250,-1.750,21,1.0000,1.0000,51.75
7,0,1.750,-1.750,5,1.0000,1.0000,54.18
0,1,-1.750,-1.250,14,1.0000,1.0000,56.04
1,1,-1.250,-1.250,28,1.0000,1.0000,52.10
2,1,-0.750,-1.250,24,1.0000,1.0000,47.38
3,1,-0.250,-1.250,24,1.0000,1.0000,50.20
4,1,0.250,-1.250,21,1.0000,1.0000,45.86
5,1,0.750,-1.250,15,1.0000,1.0000,48.75
6,1,1.250,-1.250,18,1.0000,1.0000,57.18
7,1,1.750,-1.250,19,1.0000,1.0000,58.98
0,2,-1.750,-0.750,22,1.0000,1.0000,53.01
1,2,-1.250,-0.750,32,1.0000,1.0000,51.86
2,2,-0.750,-0.750,25,1.0000,1.0000,47.69
3,2,-0.250,-0.750,26,1.0000,1.0000,47.30
4,2,0.250,-0.750,30,1.0000,1.0000,52.11
5,2,0.750,-0.750,26,1.0000,1.0000,51.91
6,2,1.250,-0.750,27,1.0000,1.0000,51.46
7,2,1.750,-0.750,17,1.0000,1.0000,49.81
0,3,-1.750,-0.250,12,1.0000,1.0000,69.42
1,3,-1.250,-0.250,17,1.0000,1.0000,53.94
2,3,-0.750,-0.250,29,1.0000,1.0000,50.99
3,3,-0.250,-0.250,29,1.0000,1.0000,51.41
4,3,0.250,-0.250,26,1.0000,1.0000,55.96
5,3,0.750,-0.250,27,1.0000,1.0000,53.20
6,3,1.250,-0.250,30,1.0000,1.0000,53.16
7,3,1.750,-0.250,19,1.0000,1.0000,53.92
0,4,-1.750,0.250,12,1.0000,1.0000,55.15
1,4,-1.250,0.250,18,1.0000,1.0000,54.81
2,4,-0.750,0.250,20,1.0000,1.0000,51.85
3,4,-0.250,0.250,20,1.0000,1.0000,52.96
4,4,0.250,0.250,15,1.0000,1.0000,53.66
5,4,0.750,0.250,21,1.0000,1.0000,53.03
6,4,1.250,0.250,19,1.0000,1.0000,55.18
7,4,1.750,0.250,11,1.0000,1.0000,56.50
0,5,-1.750,0.750,17,1.0000,1.0000,52.89
1,5,-1.250,0.750,19,1.0000,1.0000,48.40
2,5,-0.750,0.750,19,1.0000,1.0000,50.62
3,5,-0.250,0.750,15,1.0000,1.0000,53.34
4,5,0.250,0.750,15,1.0000,1.0000,53.43
5,5,0.750,0.750,20,1.0000,1.0000,52.36
6,5,1.250,0.750,14,1.0000,1.0000,52.03
7,5,1.750,0.750,13,1.0000,1.0000,59.06
0,6,-1.750,1.250,9,1.0000,1.0000,61.22
1,6,-1.250,1.250,19,1.0000,1.0000,58.51
2,6,-0.750,1.250,19,1.0000,1.0000,56.64
3,6,-0.250,1.250,18,1.0000,1.0000,54.39
4,6,0.250,1.250,18,1.0000,1.0000,48.19
5,6,0.750,1.250,19,1.0000,1.0000,51.83
6,6,1.250,1.250,18,1.0000,1.0000,52.06
7,6,1.750,1.250,18,1.0000,1.0000,50.11
0,7,-1.750,1.750,4,1.0000,1.0000,49.56
1,7,-1.250,1.750,18,1.0000,1.0000,52.50
2,7,-0.750,1.750,18,1.0000,1.0000,49.26
3,7,-0.250,1.750,18,1.0000,1.0000,49.08
4,7,0.250,1.750,19,1.0000,1.0000,48.32
5,7,0.750,1.750,17,1.0000,1.0000,50.80
6,7,1.250,1.750,20,1.0000,1.0000,52.82
7,7,1.750,1.750,6,1.0000,1.0000,51.87
