ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,3,1.0000,1.0000,49.47
1,0,-1.250,-1.750,18,1.0000,1.0000,56.95
2,0,-0.750,-1.750,19,1.0000,1.0000,48.89
3,0,-0.250,-1.750,19,1.0000,1.0000,59.94
4,0,0.250,-1.750,18,1.0000,1.0000,143.78
5,0,0.750,-1.750,19,1.0000,0.9474,144.89
6,0,1.250,-1.750,19,1.0000,1.0000,128.38
7,0,1.750,-1.750,7,1.0000,1.0000,111.77
0,1,-1.750,-1.250,13,1.0000,1.0000,40.67
1,1,-1.250,-1.250,29,1.0000,1.0000,45.63
2,1,-0.750,-1.250,27,1.0000,1.0000,47.92
3,1,-0.250,-1.250,26,1.0000,0.9615,56.30
4,1,0.250,-1.250,20,1.0000,0.8000,97.27
5,1,0.750,-1.250,18,1.0000,0.4444,259.85
6,1,1.250,-1.250,19,1.0000,0.1053,319.71
7,1,1.750,-1.250,18,1.0000,0.5556,141.04
0,2,-1.750,-0.750,23,1.0000,1.0000,41.31
1,2,-1.250,-0.750,28,1.0000,1.0000,43.80
2,2,-0.750,-0.750,31,1.0000,1.0000,53.55
3,2,-0.250,-0.750,26,1.0000,1.0000,46.84
4,2,0.250,-0.750,28,1.0000,1.0000,61.62
5,2,0.750,-0.750,29,1.0000,0.8966,237.28
6,2,1.250,-0.750,29,1.0000,0.6552,260.33
7,2,1.750,-0.750,13,1.0000,0.3846,271.26
0,3,-1.750,-0.250,13,1.0000,1.0000,44.11
1,3,-1.250,-0.250,19,1.0000,1.0000,45.10
2,3,-0.750,-0.250,18,1.0000,1.0000,60.96
3,3,-0.250,-0.250,18,1.0000,1.0000,59.80
4,3,0.250,-0.250,19,1.0000,0.9474,72.85
5,3,0.750,-0.250,19,1.0000,1.0000,104.96
6,3,1.250,-0.250,19,1.0000,0.8947,180.15
7,3,1.750,-0.250,13,1.0000,0.6154,121.35
0,4,-1.750,0.250,13,1.0000,1.0000,49.99
1,4,-1.250,0.250,19,1.0000,1.0000,44.71
2,4,-0.750,0.250,18,1.0000,1.0000,44.43
3,4,-0.250,0.250,20,1.0000,1.0000,43.24
4,4,0.250,0.250,19,1.0000,1.0000,66.08
5,4,0.750,0.250,19,1.0000,0.8947,150.55
6,4,1.250,0.250,19,1.0000,0.5789,253.93
7,4,1.750,0.250,15,1.0000,0.0000,256.77
0,5,-1.750,0.750,14,1.0000,0.5714,138.83
1,5,-1.250,0.750,18,1.0000,0.4444,130.48
2,5,-0.750,0.750,21,1.0000,0.8095,68.77
3,5,-0.250,0.750,20,1.0000,1.0000,73.50
4,5,0.250,0.750,18,1.0000,0.9444,81.10
5,5,0.750,0.750,19,1.0000,0.4737,234.17
6,5,1.250,0.750,20,1.0000,0.1500,300.08
7,5,1.750,0.750,9,1.0000,0.0000,229.22
0,6,-1.750,1.250,10,1.0000,0.3000,253.94
1,6,-1.250,1.250,16,1.0000,0.5625,174.61
2,6,-0.750,1.250,20,1.0000,0.5000,190.14
3,6,-0.250,1.250,19,1.0000,0.4211,212.98
4,6,0.250,1.250,17,1.0000,0.6471,135.40
5,6,0.750,1.250,20,1.0000,0.8000,120.56
6,6,1.250,1.250,21,1.0000,0.0952,154.78
7,6,1.750,1.250,17,1.0000,0.0000,295.15
0,7,-1.750,1.750,4,1.0000,0.0000,254.05
1,7,-1.250,1.750,18,1.0000,0.1111,348.72
2,7,-0.750,1.750,14,1.0000,0.0714,349.69
3,7,-0.250,1.750,16,1.0000,0.0625,354.80
4,7,0.250,1.750,22,1.0000,0.0909,340.86
5,7,0.750,1.750,17,1.0000,0.2353,299.46
6,7,1.250,1.750,18,1.0000,0.0000,318.23
7,7,1.750,1.750,8,1.0000,0.0000,312.84
