ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,5,1.0000,1.0000,57.61
1,0,-1.250,-1.750,17,1.0000,1.0000,51.47
2,0,-0.750,-1.750,18,1.0000,1.0000,46.72
3,0,-0.250,-1.750,20,1.0000,1.0000,46.88
4,0,0.250,-1.750,16,1.0000,1.0000,48.18
5,0,0.750,-1.750,19,1.0000,1.0000,46.38
6,0,1.250,-1.750,20,1.0000,1.0000,44.53
7,0,1.750,-1.750,6,1.0000,1.0000,44.65
0,1,-1.750,-1.250,15,1.0000,1.0000,48.45
1,1,-1.250,-1.250,28,1.0000,1.0000,43.69
2,1,-0.750,-1.250,25,1.0000,1.0000,53.70
3,1,-0.250,-1.250,25,1.0000,1.0000,50.77
4,1,0.250,-1.250,21,1.0000,1.0000,50.75
5,1,0.750,-1.250,16,1.0000,1.0000,50.54
6,1,1.250,-1.250,18,1.0000,1.0000,50.34
7,1,1.750,-1.250,18,1.0000,1.0000,49.63
0,2,-1.750,-0.750,21,1.0000,1.0000,49.18
1,2,-1.250,-0.750,31,1.0000,1.0000,45.25
2,2,-0.750,-0.750,27,1.0000,1.0000,41.77
3,2,-0.250,-0.750,26,1.0000,1.0000,37.37
4,2,0.250,-0.750,30,1.0000,1.0000,41.38
5,2,0.750,-0.750,30,1.0000,1.0000,48.15
6,2,1.250,-0.750,26,1.0000,1.0000,53.91
7,2,1.750,-0.750,18,1.0000,1.0000,56.53
0,3,-1.750,-0.250,13,1.0000,1.0000,40.37
1,3,-1.250,-0.250,19,1.0000,1.0000,35.26
2,3,-0.750,-0.250,19,1.0000,1.0000,36.23
3,3,-0.250,-0.250,18,1.0000,1.0000,37.71
4,3,0.250,-0.250,19,1.0000,1.0000,43.27
5,3,0.750,-0.250,25,1.0000,1.0000,51.40
6,3,1.250,-0.250,27,1.0000,1.0000,53.74
7,3,1.750,-0.250,22,1.0000,1.0000,51.57
0,4,-1.750,0.250,13,1.0000,1.0000,38.74
1,4,-1.250,0.250,18,1.0000,1.0000,44.29
2,4,-0.750,0.250,18,1.0000,1.0000,45.22
3,4,-0.250,0.250,18,1.0000,1.0000,57.04
4,4,0.250,0.250,20,1.0000,1.0000,62.95
5,4,0.750,0.250,19,1.0000,1.0000,59.18
6,4,1.250,0.250,15,1.0000,1.0000,51.98
7,4,1.750,0.250,11,1.0000,1.0000,50.25
0,5,-1.750,0.750,17,1.0000,1.0000,47.86
1,5,-1.250,0.750,17,1.0000,1.0000,42.79
2,5,-0.750,0.750,18,1.0000,1.0000,39.90
3,5,-0.250,0.750,20,1.0000,1.0000,43.26
4,5,0.250,0.750,20,1.0000,1.0000,45.92
5,5,0.750,0.750,16,1.0000,1.0000,45.28
6,5,1.250,0.750,20,1.0000,1.0000,48.13
7,5,1.750,0.750,11,1.0000,1.0000,48.99
0,6,-1.750,1.250,8,1.0000,1.0000,63.36
1,6,-1.250,1.250,20,1.0000,1.0000,74.24
2,6,-0.750,1.250,19,1.0000,1.0000,69.62
3,6,-0.250,1.250,16,1.0000,1.0000,57.34
4,6,0.250,1.250,20,1.0000,1.0000,52.65
5,6,0.750,1.250,20,1.0000,1.0000,49.34
6,6,1.250,1.250,17,1.0000,1.0000,52.74
7,6,1.750,1.250,17,1.0000,1.0000,59.71
0,7,-1.750,1.750,3,1.0000,1.0000,74.22
1,7,-1.250,1.750,20,1.0000,1.0000,67.15
2,7,-0.750,1.750,19,1.0000,1.0000,54.42
3,7,-0.250,1.750,16,1.0000,1.0000,53.44
4,7,0.250,1.750,20,1.0000,1.0000,52.24
5,7,0.750,1.750,20,1.0000,1.0000,50.33
6,7,1.250,1.750,18,1.0000,1.0000,57.91
7,7,1.750,1.750,8,1.0000,1.0000,58.78
