h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops,cam_c_h_m,joint_visibility_cam_c,unique_contribution_cam_c,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg
3.5,4.5,180.0,29.054604099077146,69.50002179853574,center,122.79249126970181,83.41961344361458,99.42352068045771,0.04804358593363051,0.17533432392273401,1.0,1.0,1.0,1.0,1.0,0.0,22129.21340264993,11.0,3.5,1.0,0.0,104.2500326978036,52.1250163489018,52.1250163489018
3.5,4.5,180.0,29.054604099077146,69.50002179853574,center,122.4258571220806,88.7791533360107,97.15427197029942,0.05421389847215377,0.1996057171020207,1.0,1.0,1.0,1.0,1.0,0.0,21739.626393250786,5.0,4.0,1.0,0.0,104.2500326978036,52.1250163489018,52.1250163489018
3.5,4.5,180.0,29.054604099077146,69.50002179853574,center,81.44106399406164,57.59589980014609,60.65440787218524,0.08287037037037037,0.24537037037037038,1.0,1.0,1.0,1.0,1.0,0.0,4660.459921617673,11.0,4.5,1.0,0.0,104.2500326978036,52.1250163489018,52.1250163489018
3.5,4.5,180.0,29.054604099077146,69.50002179853574,center,81.15742571947193,52.35912473520264,64.69487599372368,0.08438228438228439,0.2680652680652681,1.0,1.0,1.0,1.0,1.0,0.0,3028.2364251468384,4.0,5.0,1.0,0.0,104.2500326978036,52.1250163489018,52.1250163489018
3.5,4.5,180.0,29.054604099077146,69.50002179853574,center,133.75697152468285,87.74638107017665,109.65113560087174,0.05743740795287187,0.19391261659302897,1.0,1.0,1.0,1.0,1.0,0.0,27532.72136353494,8.0,5.5,1.0,0.0,104.2500326978036,52.1250163489018,52.1250163489018
3.5,4.5,180.0,29.054604099077146,69.50002179853574,center,94.30377306247809,65.11705828695143,72.59827637785844,0.07815356489945155,0.23720292504570384,1.0,1.0,1.0,1.0,1.0,0.0,11846.81384692164,10.0,6.0,1.0,0.0,104.2500326978036,52.1250163489018,52.1250163489018
3.5,4.5,180.0,29.054604099077146,69.50002179853574,center,91.58484609384342,55.585076529542455,75.52303546760724,0.05382716049382716,0.18666666666666668,1.0,1.0,1.0,1.0,1.0,0.0,2770.236757731342,4.0,6.5,1.0,0.0,104.2500326978036,52.1250163489018,52.1250163489018
3.5,4.5,180.0,29.054604099077146,69.50002179853574,center,104.25823989162997,60.589386224428154,89.88339229480897,0.0637037037037037,0.19654320987654322,1.0,1.0,1.0,1.0,1.0,0.0,8399.190311486516,5.0,7.0,1.0,0.0,104.2500326978036,52.1250163489018,52.1250163489018
3.5,4.0,180.0,32.005383208083494,65.08543311238715,center,110.51147984550549,72.35916051913249,88.93569317364708,0.06813725490196078,0.18627450980392157,1.0,1.0,1.0,1.0,1.0,0.0,16144.350016039492,9.0,3.5,1.0,0.0,97.62814966858072,48.81407483429036,48.81407483429036
3.5,4.0,180.0,32.005383208083494,65.08543311238715,center,142.2391763557578,99.19715760011862,117.70107658889444,0.06487582361885454,0.1931069437404967,1.0,1.0,1.0,1.0,1.0,0.0,34670.657477460285,8.0,4.0,1.0,0.0,97.62814966858072,48.81407483429036,48.81407483429036
3.5,4.0,180.0,32.005383208083494,65.08543311238715,center,110.81802620635247,76.19078149265238,88.41307688457557,0.0625,0.19832677165354332,1.0,1.0,1.0,1.0,1.0,0.0,14057.230654192052,10.0,4.5,1.0,0.0,97.62814966858072,48.81407483429036,48.81407483429036
3.5,4.0,180.0,32.005383208083494,65.08543311238715,center,135.83176461400222,90.55692034466476,111.36582298186411,0.0626232741617357,0.21055226824457593,1.0,1.0,1.0,1.0,1.0,0.0,33979.01515519404,5.0,5.0,1.0,0.0,97.62814966858072,48.81407483429036,48.81407483429036
3.5,4.0,180.0,32.005383208083494,65.08543311238715,center,99.28426382294037,64.72039314365439,79.52488013734717,0.061764705882352944,0.18627450980392157,1.0,1.0,1.0,1.0,1.0,0.0,6728.850182749521,9.0,5.5,1.0,0.0,97.62814966858072,48.81407483429036,48.81407483429036
