h_m,r_m,rel_az_deg,cam_c_az_deg,worst_coverage,mean_coverage,blind_wedge_deg,baseline_worst,baseline_mean,delta_worst
3.0,3.5,180.0,285.0,0.625,0.7649739583333333,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,300.0,0.625,0.7499999999999998,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,315.0,0.625,0.7220052083333334,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,330.0,0.625,0.6927083333333331,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,345.0,0.5833333333333334,0.6555989583333331,135.0,0.5416666666666666,0.6171874999999999,0.04166666666666674
4.0,4.0,180.0,15.0,0.20833333333333334,0.5032552083333334,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,30.0,0.20833333333333334,0.5475260416666669,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,45.0,0.20833333333333334,0.5859374999999999,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,60.0,0.20833333333333334,0.6178385416666667,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,75.0,0.20833333333333334,0.6315104166666667,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,90.0,0.20833333333333334,0.6406250000000002,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,105.0,0.20833333333333334,0.6315104166666667,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,120.0,0.20833333333333334,0.6178385416666666,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,135.0,0.20833333333333334,0.5859375,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,150.0,0.20833333333333334,0.5475260416666666,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,165.0,0.20833333333333334,0.5032552083333335,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,195.0,0.20833333333333334,0.5032552083333333,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,210.0,0.20833333333333334,0.5475260416666666,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,225.0,0.20833333333333334,0.5859374999999998,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,240.0,0.20833333333333334,0.6178385416666667,285.0,0.20833333333333334,0.4609374999999999,0.0
