h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops,cam_c_h_m,cam_c_az_deg,joint_visibility_cam_c,unique_contribution_cam_c,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tag_visibility_ratio,detect_rate_cam_a,detect_rate_cam_b,detect_rate_cam_c,detect_rate_front,detect_rate_back,longest_blind_gap_s
3.5,4.5,180.0,29.054604099077146,79.98786376496916,center,83.7120947297622,54.57147442005481,65.05961883601037,0.06725663716814159,0.22300884955752212,1.0,1.0,1.0,1.0,1.0,0.0,2003.142692864837,1.0,nan,270.0,1.0,0.0,104.2500326978036,67.85677929855196,67.85677929855194,1.0,0.7079646017699115,0.5575221238938053,0.504424778761062,0.9823008849557522,0.7079646017699115,0.0
3.5,4.5,180.0,29.054604099077146,79.98786376496916,center,94.86664534188748,61.43240175925398,70.08679309440427,0.06257309941520468,0.1871345029239766,1.0,1.0,1.0,1.0,1.0,0.0,3797.2455370184884,0.0,nan,90.0,1.0,0.0,104.2500326978036,67.85677929855194,67.85677929855194,0.9736842105263158,0.631578947368421,0.5350877192982456,0.35964912280701755,0.49122807017543857,0.956140350877193,0.3515586346651601
3.5,4.5,180.0,29.054604099077146,79.74517464125076,center,83.41769005580032,56.2289492406448,64.23525107999075,0.06666666666666667,0.23657817109144544,1.0,1.0,1.0,1.0,1.0,0.0,2311.9100174416603,0.0,nan,285.0,1.0,0.0,104.2500326978036,57.43967776265101,77.54581346329765,0.9823008849557522,0.6991150442477876,0.5663716814159292,0.504424778761062,0.9557522123893806,0.7079646017699115,0.17846023184912546
3.5,4.5,180.0,29.054604099077146,79.74517464125076,center,80.68560237871242,53.06284135996388,62.7514317426269,0.07246376811594203,0.2318840579710145,1.0,1.0,1.0,1.0,1.0,0.0,1752.2363124994965,1.0,nan,255.0,1.0,0.0,104.2500326978036,77.54581346329766,57.43967776265101,1.0,0.6782608695652174,0.5826086956521739,0.5043478260869565,0.9478260869565217,0.7391304347826086,0.0
3.5,4.0,180.0,32.005383208083494,75.41068740117676,center,93.57610351884745,66.31930159409701,69.13217440778914,0.07549361207897794,0.22531939605110338,1.0,1.0,1.0,1.0,1.0,0.0,6574.305028537491,2.0,nan,90.0,1.0,0.0,97.62814966858072,64.30195626747476,64.30195626747476,1.0,0.7304347826086957,0.591304347826087,0.41739130434782606,0.6,0.991304347826087,0.0
3.5,4.0,180.0,32.005383208083494,75.41068740117676,center,110.23922069645633,55.860777694926774,94.67313159751886,0.03655913978494624,0.12311827956989248,1.0,1.0,1.0,1.0,1.0,0.0,3261.0857998053375,2.0,nan,270.0,1.0,0.0,97.62814966858072,64.30195626747476,64.30195626747476,1.0,0.6935483870967742,0.6370967741935484,0.5645161290322581,0.9919354838709677,0.75,0.0
3.5,4.0,180.0,32.005383208083494,75.16051544243197,center,80.55627504047037,57.13270904833009,58.9129237364936,0.0817391304347826,0.26608695652173914,1.0,1.0,1.0,1.0,1.0,0.0,2346.1952661898395,2.0,nan,285.0,1.0,0.0,97.62814966858072,54.53425686054606,73.31913979816916,1.0,0.7217391304347827,0.5739130434782609,0.5478260869565217,0.9826086956521739,0.7130434782608696,0.0
3.5,4.0,180.0,32.005383208083494,75.16051544243199,center,96.139866947467,66.79640542398667,67.78246376799147,0.0738327904451683,0.20846905537459284,1.0,1.0,1.0,1.0,1.0,0.0,6078.8893247134565,5.0,nan,105.0,1.0,0.0,97.62814966858072,73.31913979816919,54.534256860546044,0.983739837398374,0.6585365853658537,0.6178861788617886,0.4796747967479675,0.6016260162601627,0.9105691056910569,0.1635021147180776
3.0,4.0,180.0,26.56505117707799,81.35327088670864,center,75.0386554408147,52.233554388581794,54.93138726904733,0.11072463768115942,0.3234782608695652,1.0,1.0,1.0,1.0,1.0,0.0,3205.8417976098485,2.0,nan,90.0,1.0,0.0,106.26020470831197,68.89980397590698,68.89980397590698,1.0,0.7478260869565218,0.6521739130434783,0.46956521739130436,0.6347826086956522,1.0,0.0
3.0,4.0,180.0,26.56505117707799,81.35327088670864,center,71.16463450945517,45.11465435291478,56.335755387924344,0.08010752688172043,0.2661290322580645,1.0,1.0,1.0,1.0,1.0,0.0,892.8850048064338,0.0,nan,270.0,1.0,0.0,106.26020470831197,68.89980397590699,68.89980397590698,1.0,0.717741935483871,0.6774193548387096,0.5725806451612904,0.9838709677419355,0.7903225806451613,0.0
