h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops
2.0,4.5,120,12.528807709151511,104.63007725190404,center,125.58207171505181,60.126686706133036,111.52257656349772,0.02426284751474305,0.1071609098567818,1.0,1.0,1.0,1.0,1.0,0.0,4470.226140540706,17.0
2.0,5.0,60,11.309932474020215,55.32188041333616,center,95.78753492088681,60.17666639820844,73.6894139943258,0.019292237442922376,0.1125,1.0,1.0,1.0,1.0,1.0,0.0,2899.2320158808934,1.0
2.0,5.0,90,11.309932474020215,82.07185823379778,center,113.48148285103271,64.53476364066873,93.2928906897703,0.014151747655583974,0.08689968741119636,1.0,1.0,1.0,1.0,1.0,0.0,7071.738326505759,2.0
2.0,5.0,120,11.309932474020215,107.0438466150983,center,129.3877713110943,60.8235422718246,115.36466404146059,0.022805338138408696,0.09741539501098034,1.0,1.0,1.0,1.0,1.0,0.0,4412.734436379382,1.0
2.5,2.0,60,36.86989764584402,36.40152052906664,center,255.28203885474954,136.41523279404797,225.88582300287686,0.015218375198008598,0.09278117221090744,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,251224.81845504645,17.0
2.5,2.0,90,36.86989764584402,52.42813068030234,center,249.99618296092996,137.14458807823416,219.81237569341906,0.02732919254658385,0.12789384528514963,1.0,1.0,1.0,1.0,1.0,0.0,368776.4581047281,16.0
2.5,2.0,120,36.86989764584402,65.50372094882177,center,314.7279385745734,130.8375392514509,273.9548426211525,0.0413986013986014,0.13851748251748253,1.0,1.0,1.0,1.0,1.0,0.0,602718.9319905752,23.0
2.5,2.0,150,36.86989764584402,74.22889435253646,center,184.30234624369294,108.79278841152657,151.53424262222828,0.0568476910917918,0.1708253358925144,1.0,1.0,1.0,1.0,1.0,0.0,143002.6931660398,16.0
2.5,2.0,180,36.86989764584402,77.31961650818018,center,249.3783770189775,104.61065151660226,216.0323343636894,0.0508097278646558,0.1670655016973677,1.0,1.0,1.0,1.0,1.0,0.0,303892.21580700605,19.0
2.5,2.5,60,30.96375653207352,41.40962210927087,center,139.95700152936882,100.85223321644254,112.36309374427869,0.015957146884691287,0.10121229207781224,1.0,1.0,1.0,1.0,1.0,0.0,48491.6478270858,13.0
